# German residual candidates (6804 unique across PW/PWG/GRA/CCS/SCH) classified vs 2026 Duden (Sonnet).
# DOCUMENTATION ONLY. modern_form is advisory.
# by category: fragment-or-ocr=2981, reform-drift=1831, latin-or-foreign=1105, modern=759, proper-noun=106, uncertain=22
# 1831 reform-drift (1831 new, folded into de_reform_map.tsv). old<TAB>2026<TAB>era:
abbruchthuer	Abbruchtuer	1901-th
abendröthen	Abendröten	1901-th
abgetheilten	abgeteilten	1901-th
abgetheiltes	abgeteiltes	1901-th
absolvirt	absolviert	1901-iren
absorbirt	absorbiert	1901-iren
abstrahirt	abstrahiert	1901-iren
abstrahirte	abstrahierte	1901-iren
abtheilend	abteilend	1901-th
abtheilung	Abteilung	1901-th
abtheilungen	Abteilungen	1901-th
abthut	abtut	1901-th
abzutheilen	abzuteilen	1901-th
acajounuss	Kajoukassnuss	1901-c
accentuiren	akzentuieren	1901-c-iren
accentuirt	akzentuiert	1901-iren
accusativ	Akkusativ	1901-c
accusativs	Akkusativs	1901-c
achttheilige	achtteilige	1901-th
achttheiliges	achtteiliges	1901-th
achtungswerther	achtungswerter	1901-th
achtzehntheilig	achtzehnteilig	1901-th
achtzehntheiligen	achtzehnteiligen	1901-th
ackergeräthe	Ackergeräte	1901-th
acuten	Akuten	1901-c
addirt	addiert	1901-iren
adoptirt	adoptiert	1901-iren
adspirirt	adspiriert	1901-iren
adstringiren	adstringieren	1901-iren
aechtheit	Echtheit	1901-th
aequinoctical	äquinoktial	1901-c
aesthetik	Ästhetik	1901-th
aether	Äther	1901-th
aethers	Äthers	1901-th
aethiop	Äthiop	1901-th
afficirt	affiziert	1901-iren
allmittheilend	alles mitteilend	1901-th
almosenvertheilung	Almosenverteilung	1901-th
alterirt	alteriert	1901-iren
amaranthenart	Amarantenart	1901-th
amaranthusart	Amaranthusart	1901-th
amüsirt	amüsiert	1901-iren
anathmen	anatmen	1901-th
anderntheils	andernteils	1901-th
angepaßtes	angepasstes	1996-ss
angethane	angetane	1901-th
angethanen	angetanen	1901-th
angethanes	angetanes	1901-th
anmuthige	anmutige	1901-th
anmuthigen	anmutigen	1901-th
anmuthiger	anmutiger	1901-th
anmuthiges	anmutiges	1901-th
annullirt	annulliert	1901-iren
antheile	Anteile	1901-th
antheilnahme	Anteilnahme	1901-th
anthuend	antuend	1901-th
applicirt	appliziert	1901-iren
approbirt	approbiert	1901-iren
arecanussbaum	Arekanussbaum	1901-c
articulationskraft	Artikulationskraft	1901-c
articulationsstelle	Artikulationsstelle	1901-c
articulirt	artikuliert	1901-c-iren
articulirten	artikulierten	1901-c-iren
articulirung	Artikulierung	1901-c-iren
aspirirt	aspiriert	1901-iren
assimilirt	assimiliert	1901-iren
athemloswerden	Atemloswerden	1901-th
athemnoth	Atemnot	1901-th
athems	Atems	1901-th
athemvoll	atemvoll	1901-th
athemzug	Atemzug	1901-th
athemzuge	Atemzuge	1901-th
athemzuges	Atemzuges	1901-th
athemzüge	Atemzüge	1901-th
athemzügen	Atemzügen	1901-th
athletentum	Athletentum	1901-th
athmend	atmend	1901-th
athmende	atmende	1901-th
athmendes	atmendes	1901-th
athmens	Atmens	1901-th
athmet	atmet	1901-th
athmungsorgane	Atmungsorgane	1901-th
aufathmend	aufatmend	1901-th
aufathmet	aufatmet	1901-th
aufgangsroth	Aufgangsrot	1901-th
aufthuend	auftuend	1901-th
aufthürmend	auftürmend	1901-th
auseinanderthun	auseinandertun	1901-th
ausgeathmete	ausgeatmete	1901-th
ausgetheilte	ausgeteilte	1901-th
ausgetheiltes	ausgeteiltes	1901-th
ausrangirt	ausrangiert	1901-iren
aussenthoren	Außentoren	1901-th
ausstaffirt	ausstaffiert	1901-iren
austheilend	austeilend	1901-th
austheiler	Austeiler	1901-th
austheilung	Austeilung	1901-th
autorisirt	autorisiert	1901-iren
auß	aus	1996-ss
außenthür	Außentür	1901-th
badegeräth	Badegerät	1901-th
barthaare	Barthaare	1901-th
baumthier	Baumtier	1901-th
beachtungswerth	Beachtungswert	1901-th
beeinathmen	beeinatmen	1901-th
begehrenswerthe	begehrenswerte	1901-th
begehrungswerth	begehrungswert	1901-th
beherzigenswerth	beherzigenswert	1901-th
bejammernswerth	bejammernswert	1901-th
beklagenswerthes	Beklagenswertes	1901-th
bemerkenswerthesten	bemerkenswertesten	1901-th
bemerkensworth	bemerkenswert	1901-th
bemitleidenswerther	bemitleidenswerter	1901-th
bemüthung	Bemühung	1901-th
benachtheiligung	Benachteiligung	1901-th
beratherin	Beraterin	1901-th
berathung	Beratung	1901-th
berathungen	Beratungen	1901-th
berathungsgemach	Beratungsgemach	1901-th
berathungssaal	Beratungssaal	1901-th
berathungszeit	Beratungszeit	1901-th
beriethen	berieten	1901-th
bestandtheile	Bestandteile	1901-th
bestandtheilen	Bestandteilen	1901-th
bestandtheils	Bestandteils	1901-th
besuchenswerth	besuchenswert	1901-th
betelnuß	Betelnuss	1996-ss
betelnußbaum	betelnussbaum	1996-ss
betheiligend	beteiligend	1901-th
betheiliget	beteiligt	1901-th
betheiligt	beteiligt	1901-th
betheiligten	beteiligten	1901-th
betheiligter	Beteiligter	1901-th
betheiligtsein	Beteiligsein	1901-th
betheiligung	Beteiligung	1901-th
betheuerung	Beteuerung	1901-th
betheuerungen	Beteuerungen	1901-th
bethränt	betränt	1901-th
bethränten	beträngten	1901-th
bethätige	betätige	1901-th
bethätigt	betätigt	1901-th
bethätigung	Betätigung	1901-th
bethörer	Betörer	1901-th
bethört	betört	1901-th
bethörtsein	Betörtsein	1901-th
bethörung	Betörung	1901-th
beurtheilend	beurteilend	1901-th
beurtheilst	beurteilst	1901-th
beurtheilt	beurteilt	1901-th
beurtheilung	Beurteilung	1901-th
bewirthet	bewirtet	1901-th
bewirthung	Bewirtung	1901-th
bewundernswerther	bewundernswerter	1901-th
bewußtlosmachen	bewusstlosmachen	1996-ss
bewußtseinsinhalts	bewusstseinsinhalts	1996-ss
bindevocal	Bindevokal	1901-c
bindevocals	Bindevokal	1901-c
bisamthier	Bisamtier	1901-th
blassroth	blassrot	1901-th
blassrothe	blassrote	1901-th
blassrother	blassroter	1901-th
blaßrot	blassrot	1996-ss
blaßrote	blassrote	1996-ss
blaßrotes	blassrotes	1996-ss
blutfluß	blutfluss	1996-ss
blutrothe	blutrote	1901-th
blutrother	blutroter	1901-th
blutthat	Bluttat	1901-th
blutthaten	Bluttaten	1901-th
blüthenblatt	Blütenblatt	1901-th
blüthenblatte	Blütenblatte	1901-th
blüthenblätter	Blütenblätter	1901-th
blüthenblättern	Blütenblättern	1901-th
blüthenentwickelung	Blütenentwicklung	1901-th
blüthenfarbe	Blütenfarbe	1901-th
blüthenhonig	Blütenhonig	1901-th
blüthenknöspchen	Blütenknöspchen	1901-th
blüthenköpfchen	Blütenköpfchen	1901-th
blüthenlos	blütenlos	1901-th
blüthenrispe	Blütenrispe	1901-th
blüthenspelzen	Blütenspelzen	1901-th
blüthenstandlos	blütenstandlos	1901-th
blüthenstaub	Blütenstaub	1901-th
blüthenstaubes	Blütenstaubes	1901-th
blüthenstaublos	blütenstaublos	1901-th
blüthenstengel	Blütenstengel	1901-th
blüthenstrauss	Blütenstrauß	1901-th
blüthensträussen	Blütensträußen	1901-th
blüthenähre	Blütenähre	1901-th
