# AP tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
465	alasya -> Alasya	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	nivAs -> nivas	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	banDyA -> vanDyA	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	fS -> fz	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	sAmam -> sAman	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
375	antAra -> antara	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	prARA -> prARa	[consensus,dict_vs_corpus,spell_correct]	morph✓
366	brahmam -> brahman	[consensus,intra_dup,spell_correct]	morph✓
366	hemam -> heman	[consensus,intra_dup,spell_correct]	morph✓
366	janmam -> janman	[consensus,intra_dup,spell_correct]	morph✓
365	AjAta -> ajAta	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	mandirA -> mandira	[consensus,dict_vs_corpus,spell_correct]	morph✓
364	AvaSyam -> avaSyam	[consensus,intra_dup,spell_correct]	morph✓
361	nIram -> niram	[consensus,intra_dup,spell_correct]	morph✓
358	visram -> viSram	[consensus,intra_dup,spell_correct]	morph✓
356	Danvam -> Danvan	[consensus,intra_dup,spell_correct]	morph✓
356	SIrzam -> SIrzan	[consensus,intra_dup,spell_correct]	morph✓
356	carmam -> carman	[consensus,intra_dup,spell_correct]	morph✓
356	dAmam -> dAman	[consensus,intra_dup,spell_correct]	morph✓
355	anAvara -> anavara	[consensus,intra_dup,spell_correct]	morph✓
355	anuSravika -> AnuSravika	[consensus,intra_dup,spell_correct]	morph✓
355	kusIdA -> kusIda	[consensus,intra_dup,spell_correct]	morph✓
354	arAt -> ArAt	[consensus,intra_dup,spell_correct]	morph✓
350	nAsatyA -> nAsatya	[consensus,dict_vs_corpus,intra_dup]	
348	AgUr -> Agur	[consensus,intra_dup,spell_correct]	morph✓
347	Ekadyam -> EkaDyam	[consensus,intra_dup,spell_correct]	morph✓
346	udam -> udan	[consensus,intra_dup,spell_correct]	morph✓
346	uzmam -> uzman	[consensus,intra_dup,spell_correct]	morph✓
346	varzmam -> varzman	[consensus,intra_dup,spell_correct]	morph✓
346	yona -> yOna	[consensus,intra_dup,spell_correct]	morph✓
344	AlIQA -> AlIQa	[consensus,intra_dup,spell_correct]	morph✓
341	viDra -> vIDra	[consensus,intra_dup,spell_correct]	morph✓
339	anuSItam -> anusItam	[consensus,intra_dup,spell_correct]	morph✓
339	pracalA -> pracala	[consensus,intra_dup,spell_correct]	
337	aBikzipta -> avikzipta	[consensus,intra_dup,spell_correct]	morph✓
