# SKD tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
475	rAjA -> rAja	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	hantA -> hanta	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
462	kalI -> kali	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
459	misra -> miSra	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	banDyA -> vanDyA	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
375	prARA -> prARa	[consensus,dict_vs_corpus,spell_correct]	morph✓
368	Sma -> sma	[consensus,intra_dup,spell_correct]	morph✓
368	yud -> yuD	[consensus,dict_vs_corpus,intra_dup]	morph✓
366	Cit -> cit	[consensus,intra_dup,spell_correct]	morph✓
365	DavalA -> Davala	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	locanA -> locana	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	maGavAn -> maGavan	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	mandirA -> mandira	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	matsarA -> matsara	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	potA -> pota	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	triguRA -> triguRa	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	vatsalA -> vatsala	[consensus,dict_vs_corpus,spell_correct]	morph✓
364	SuzmA -> Suzma	[consensus,intra_dup,spell_correct]	morph✓
364	lakzA -> lakza	[consensus,intra_dup,spell_correct]	morph✓
364	sPuwA -> sPuwa	[consensus,intra_dup,spell_correct]	morph✓
360	GftA -> Gfta	[consensus,dict_vs_corpus,intra_dup]	
360	sahitA -> sahita	[consensus,dict_vs_corpus,intra_dup]	
359	yuza -> yUza	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	Guqa -> guqa	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	bARI -> vARI	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	dAtrI -> DAtrI	[consensus,intra_dup,spell_correct]	morph✓
356	RATa -> nATa	[consensus,intra_dup,spell_correct]	morph✓
356	praTimA -> pratimA	[consensus,intra_dup,spell_correct]	morph✓
356	rekA -> reKA	[consensus,intra_dup,spell_correct]	morph✓
355	kaYcI -> kAYcI	[consensus,intra_dup,spell_correct]	morph✓
355	utkA -> utka	[consensus,intra_dup,spell_correct]	morph✓
355	vijitA -> vijita	[consensus,intra_dup,spell_correct]	morph✓
352	dfSI -> dfSi	[consensus,intra_dup,spell_correct]	morph✓
352	navatI -> navati	[consensus,intra_dup,spell_correct]	morph✓
350	SaraRyA -> SaraRya	[consensus,dict_vs_corpus,intra_dup]	
350	aDamA -> aDama	[consensus,dict_vs_corpus,intra_dup]	
350	aSvatTA -> aSvatTa	[consensus,dict_vs_corpus,intra_dup]	
