# PD -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 116 headwords that LOOK like misspellings but which PD records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS PD.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the PD entry text

# ===== WRONG-READING (16) =====
aDyAyika       -> ADyAyika       | {#aDyAyika#} (adhyāy-íka) {%adj.%} (accent ?) [VIŚVA, wrongly read for {%ādhyāyika%}, due to wrong split in {%sandhi%} of {#yu/vADyA\yikaH#} in {#sADuyu/vADyA\#
aDyarDaKArika  -> aDyarDaKArIka  | {#aDyarDaKArika#} (adhyardhakhāri-ka) {%adj.%} [w. r. for {@{#aDyarDaKArIka#}@}] KośaKaTa. 1. 6856.
aDyasitavya    -> aDyAsitavya    | {#aDyasitavya#} (adhy-asitavya) {%adj.%} which is to be wrongly imposed (on something else) {#na cAyamasti niyamaH -- puro'vasTita eva vizaye vizayAntara-#} {#m
aGAra          -> agAra          | {#aGAra#} (aghāra) {%m.%} [{%w. r.%} for {#AGAra#}] BhaviP. 375A. 33 (ii(2). 15 (? 14). 11)
aRikAsam       -> aRikAzam       | {#aRikAsam#} (a-ṇikāsam) {%adv.%} ({%w. r.%} for {%‘aṇikāṣam’%} or {%anikāṣam%}) [nt.]
agneyI         -> AgneyI         | {#agneyI#} (agneyī) (w. r. for {%āgneyī%}) {%f.%} the South-East quarter {#agneyyAM vfdDiH#} ParaS. 4. 81; cf. {@{#AgneyI#}@}.
agnimAruta     -> AgnimAruta     | {#agnimAruta#} (agnimāruta) {%m.%} [w. r. for {%āgnimāruta%}] name of Agastya {#mEtrAvaruRa Agneya agnimAruta ityapi.agastye#} ŚabdaRa.(Su.) 2. 24.
agniveSyAyana  -> AgniveSyAyana  | {#agniveSyAyana#} (agniveśy-āyana) {%m.%} [w. r. for {#AgniveSyAyana#}] name of a Vedic teacher on phonetics {#nAgniveSyAyanasya#} (comm. {#na a(? A) gniveSyA-#
akzoWa         -> akzowa         | {#akzoWa#} (akṣoṭha) {%m.%} [w. r. for {%akṣoṭa%}] walnut {#akzoWaSuRWimaricArdrakadA-#} {#qimatvak…ºsusaMskftAnyaH.matsyAn suSItasitaBaktatale daDAti#} Subhāṣi
anAdfzwi       -> anADfzwi       | {#anAdfzwi#} (anādṛṣṭi) {%m.%} {@A@} name of one of the sons of Dhṛtarā- ṣṭra {#apAtayanta putrAMste raTeByaH….anADf#} (v. l. {#ºdf#}) {#zwiM kuRqaBedaM vErAwam
anftAnanda     -> amftAnanda     | {#anftAnanda#} (anṛtānanda) {%n.%} a type of Raudradhyāna (in which one behaves with wrong intention or accuses wrongly and thinks about the evil of others), Ja
