# gold_corrections.tsv -- held-out detection-level gold set (H825, ruling D11)
# Generated by detectors/build_gold_set.py from corrections_draft/file_first_verified.tsv.
# class=POSITIVE (PASS/SCAN-FIRST): a genuine fileable typo -- detectors should flag `wrong`.
# class=HARM (EDITORIAL/DNF/DROP): NOT a plain typo -- flagging/"correcting" `wrong` here is
#   the harm case (duplicate/apparatus collision, do-not-file spelling, or already-stale).
row_id	dict	wrong	right	class	verdict
001	SHS	BUnaya	BUmaya	POSITIVE	PASS
002	SHS	BadraballI	BadravallI	POSITIVE	PASS
003	SHS	SilAbalkA	SilAvalkA	POSITIVE	PASS
004	SHS	akASadIpa	AkASadIpa	POSITIVE	PASS
005	SHS	diDizupati	diDizUpati	POSITIVE	PASS
006	SHS	ditisUta	ditisuta	POSITIVE	PASS
007	SHS	divaspfTibI	divaspfTivI	POSITIVE	PASS
008	SHS	drabaja	dravaja	POSITIVE	PASS
009	SHS	hastisuRqA	hastiSuRqA	POSITIVE	PASS
010	SHS	jAmbabat	jAmbavat	POSITIVE	PASS
011	SHS	jAmbunadamaya	jAmbUnadamaya	POSITIVE	PASS
012	SHS	jalarupa	jalarUpa	POSITIVE	PASS
013	SHS	kARqapfzwa	kARqapfzWa	HARM	DROP
014	SHS	kAlyaRineya	kAlyARineya	POSITIVE	PASS
015	SHS	kAzwakuddAla	kAzWakuddAla	POSITIVE	PASS
016	SHS	klItakika	klItakikA	POSITIVE	PASS
017	SHS	kzIraballI	kzIravallI	POSITIVE	PASS
018	SHS	laGizwa	laGizWa	POSITIVE	PASS
019	SHS	maYjarinamra	maYjarInamra	POSITIVE	SCAN-FIRST
020	SHS	murali	muralI	POSITIVE	PASS
021	SHS	natyuha	natyUha	POSITIVE	SCAN-FIRST
022	SHS	navakArika	navakArikA	POSITIVE	PASS
023	SHS	ninittakAla	nimittakAla	POSITIVE	PASS
024	SHS	nyaNkuBUrUha	nyaNkuBUruha	POSITIVE	PASS
025	SHS	pAniyavarRikA	pAnIyavarRikA	POSITIVE	PASS
026	SHS	paNKagrAha	paNkagrAha	POSITIVE	PASS
027	SHS	padazwIva	padazWIva	POSITIVE	PASS
028	SHS	pitfrupa	pitfrUpa	POSITIVE	SCAN-FIRST
029	SHS	pratipaTan	pratipaTam	POSITIVE	SCAN-FIRST
030	SHS	pratyupaveza	pratyupaveSa	POSITIVE	SCAN-FIRST
031	SHS	purUzadantikA	puruzadantikA	POSITIVE	SCAN-FIRST
032	SHS	saptAtitama	saptatitama	POSITIVE	SCAN-FIRST
033	SHS	svarRabalkala	svarRavalkala	POSITIVE	PASS
034	SHS	vAcanIka	vAcanika	POSITIVE	PASS
035	SHS	vArttayana	vArttAyana	POSITIVE	PASS
036	SHS	viSamaSIla	vizamaSIla	POSITIVE	PASS
037	SHS	zuh	suh	POSITIVE	PASS
