# BHS -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 294 headwords that LOOK like misspellings but which BHS records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS BHS.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the BHS entry text

# ===== WRONG-READING (6) =====
AGAtin         -> aGAtin         | {@āghātin@}, adj.-subst. (from āghāta {%slaying%} with -in), {%murderous%} (person), {%murderer%}: LV 〔207.3〕 (vs) āghātina (so read with all mss. but one which
AvarjanA       -> Avarjana       | {@āvarjanā@} = {@āvarjana@}, {%winning to oneself, the making kindly disposed%}: in LV 〔245.14—15〕 read: bodhisattvo rudrakasya rāmaputrasya saśiṣyasyāvarjanāṃ 
izwI           -> izwi           | {@iṣṭī, iṣṭi@} (Pali itthi, itthī), = {@iṣṭikā, istrī@}, qq.v., {%woman%}: LV 〔74.15〕 (vs) ye ca iṣṭidārakā suduḥkhitā (Lefm. wrongly ˚dārakāsu duḥ˚), {%and wha
lABA           -> lABa           | [{@lābhā@}, in lābhā te mahārājo sulabdhā Mv 〔i.226.14〕 (prose), taken as fem. by Senart, wrongly; it is n. pl. m.; so also in the parallels alleged in Senartʼs
raRati         -> ramati         | {@raṇati@} (unrecorded in this mg.), acc. to Bendall and Rouse {%makes contact with%} (loc.), perhaps rather {%delights in%} (so Vedic), or better yet {%is atta
tikzRa         -> tIkzRa         | [{@Tikṣṇa@}, Lefm., {@Tikṣu@}, Foucaux with v.l., wrong readings for {@Tiṣya@}, q.v. (Tib. ḥod ldan) at LV 〔172.3〕. Calc. reads Vikṣu.]

# ===== VARIA-LECTIO (81) =====
Apaskara       -> apaskara       | ? {@āpas-kara@}, m., {%action of water%}: Mv 〔ii.366.13〕 (na tasya caurā rājāno dhanaskandha [so one ms., Senart with v.l. ˚dhaṃ] parāmṛṣe) agnir vā āpaskaro (r
Asaya          -> ASaya          | ? {@āsaya@}, nt., in Mv 〔iii.400.3〕 hitvā ālayāni (see {@ālaya@}) āsayāni (v.l. āsanāni); the Pali parallel Sn 〔535〕 reads āsavāni = BHS āśravāṇi, ās˚, which mu
BUzaRA         -> BUzaRa         | ? {@bhūṣaṇā@}, f. (only nt. in Pali and Pkt.; in Skt. nt. or ‘exceptionally’ m.), {%ornament%}: hā istrigārā vigaḍita bhūṣaṇābhiḥ LV 〔231.6〕 (vs), {%stripped of
GAwin          -> GAtin          | {@ghāṭin@}, adj. (= ghātin, cf. 〔§ 2.41〕), {%destroying%}: jagakleśa-ghāṭī Dbh.g. 〔41(67).14〕 (no v.l.).
IzADara        -> IzADAra        | {@Īṣādhara@}, m. (= Pali Īsadhara), n. of a mountain (one of the seven ranges surrounding Sumeru; Kirfel, Kosm. 〔186〕): Mvy 〔4144〕 (but Mironov Īśā˚, with v.l. 
Karjuraka      -> KarjUraka      | {@kharjuraka@}, nt. (Skt. Lex. kharjura; otherwise recorded only with ū), {%fruit of the date%}: ˚kāni Mv 〔ii.475.16〕, so read; in a list of various fruits; so 
Kawuka         -> kawuka         | {@khaṭuka@}, oftener {@khaṭuṅka@} (also abstr. {@˚ka-tā@}), in KP {@khaḍuṅka@}, adj. or subst. m. (Pali and AMg. khaluṅka; cf. Skt. Lex. kaṭuṅka-tā, and see Sch
Ko             -> ko             | {@kho@} = {@khu@} (Skt. khalu), q.v.; this, which is the Pali form, is rare in BHS: in vss, where meter requires a long syllable, Samādh 〔8.25〕; Mv 〔ii.57.22〕; 
Tala           -> tala           | {@thala@} (nt., = Pali id., MIndic for Skt. sthala), {%dry land%}: Mv 〔iii.32.2, 11〕 (v.l. sthala in both: prose).
aByAyata       -> avyAyata       | [{@abhyāyata@}, adj. (error for atyāyata, which is read in other texts), in Mv 〔ii.43.15〕 nābhyāyata-vacanā ca, one (〔No. 47〕) of the {@anuvyañjana@} (q.v.). Fo
alindA         -> alinda         | {@alindā@}, ({@1@}) = prec. (v.l. ˚ṇḍā): mahatī ca alindā bhaktasya (q.v.) Mv 〔iii.15.9〕; (odanasya mahatī) alindā ibid. 〔13〕; ({@2@}) n. of a queen, wife of Ik
anantavikrAmin -> anantavikramin | {@Anantavikrāmin@}, v.l. ˚kramin, ˚krama, n. of a Bodhisattva: SP 〔3.7〕.
asya           -> Asya           | {@asya@}, also {@sya@}, apparently particle of emphasis; acc. to Senart on Mv 〔i.45.1〕, = Skt. svid, Pali su (also assu). (Note that PTSD s.v. su³ derives this 
bfNga          -> BfNga          | {@bṛṅga@}, var. for {@pṛṅga@}, q.v.
