# PD tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
475	akzA -> akza	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	adarSanA -> adarSana	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	adfSyA -> adfSya	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	anANga -> anaNga	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	anaGA -> anaGa	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	anaNgA -> anaNga	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	aninditA -> anindita	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	antrA -> antra	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	antyA -> antya	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	anucAra -> anucara	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
462	atrI -> atri	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
458	adama -> aDama	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	agaqa -> agada	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
374	aDikA -> aDika	[consensus,intra_dup,spell_correct]	morph✓
374	anilA -> anila	[consensus,intra_dup,spell_correct]	morph✓
366	aGni -> agni	[consensus,intra_dup,spell_correct]	morph✓
366	aRya -> anya	[consensus,intra_dup,spell_correct]	morph✓
366	awi -> ati	[consensus,intra_dup,spell_correct]	morph✓
365	aDipatya -> ADipatya	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	anDAka -> anDaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	atiTya -> AtiTya	[consensus,dict_vs_corpus,spell_correct]	morph✓
364	aDikAraRa -> aDikaraRa	[consensus,intra_dup,spell_correct]	morph✓
364	aDyakzA -> aDyakza	[consensus,intra_dup,spell_correct]	morph✓
364	aYjAna -> aYjana	[consensus,intra_dup,spell_correct]	morph✓
364	acAla -> acala	[consensus,intra_dup,spell_correct]	morph✓
364	acyutA -> acyuta	[consensus,intra_dup,spell_correct]	morph✓
364	adButA -> adButa	[consensus,intra_dup,spell_correct]	morph✓
364	agrAtas -> agratas	[consensus,intra_dup,spell_correct]	morph✓
364	anATA -> anATa	[consensus,intra_dup,spell_correct]	morph✓
364	anAryA -> anArya	[consensus,intra_dup,spell_correct]	morph✓
364	anDA -> anDa	[consensus,intra_dup,spell_correct]	morph✓
364	anDakA -> anDaka	[consensus,intra_dup,spell_correct]	morph✓
364	anantAra -> anantara	[consensus,intra_dup,spell_correct]	morph✓
364	anantarA -> anantara	[consensus,intra_dup,spell_correct]	morph✓
364	antakA -> antaka	[consensus,intra_dup,spell_correct]	morph✓
364	antarikzA -> antarikza	[consensus,intra_dup,spell_correct]	morph✓
364	anugrAha -> anugraha	[consensus,intra_dup,spell_correct]	morph✓
364	anurAgA -> anurAga	[consensus,intra_dup,spell_correct]	morph✓
364	anurUpA -> anurUpa	[consensus,intra_dup,spell_correct]	morph✓
364	anuttamA -> anuttama	[consensus,intra_dup,spell_correct]	morph✓
364	anuttarA -> anuttara	[consensus,intra_dup,spell_correct]	morph✓
364	anuvAsanA -> anuvAsana	[consensus,intra_dup,spell_correct]	morph✓
364	anvayA -> anvaya	[consensus,intra_dup,spell_correct]	morph✓
364	anyatarA -> anyatara	[consensus,intra_dup,spell_correct]	morph✓
364	atandritA -> atandrita	[consensus,intra_dup,spell_correct]	morph✓
364	atiSAya -> atiSaya	[consensus,intra_dup,spell_correct]	morph✓
364	atimAtrA -> atimAtra	[consensus,intra_dup,spell_correct]	morph✓
364	atulA -> atula	[consensus,intra_dup,spell_correct]	morph✓
362	aYjalI -> aYjali	[consensus,dict_vs_corpus,intra_dup]	morph✓
361	aRIman -> aRiman	[consensus,intra_dup,spell_correct]	morph✓
361	aditI -> aditi	[consensus,intra_dup,spell_correct]	morph✓
361	ajIna -> ajina	[consensus,intra_dup,spell_correct]	morph✓
361	anika -> anIka	[consensus,intra_dup,spell_correct]	morph✓
360	agrA -> agra	[consensus,dict_vs_corpus,intra_dup]	
358	anUja -> anuja	[consensus,intra_dup,spell_correct]	morph✓
358	anUttara -> anuttara	[consensus,intra_dup,spell_correct]	morph✓
358	anUvft -> anuvft	[consensus,intra_dup,spell_correct]	morph✓
358	anuSAra -> anusAra	[consensus,intra_dup,spell_correct]	morph✓
357	andas -> anDas	[consensus,intra_dup,spell_correct]	morph✓
357	anuzwA -> anuzWA	[consensus,intra_dup,spell_correct]	morph✓
356	aRAdi -> anAdi	[consensus,intra_dup,spell_correct]	morph✓
356	aRanta -> ananta	[consensus,intra_dup,spell_correct]	morph✓
356	aRarTa -> anarTa	[consensus,intra_dup,spell_correct]	morph✓
356	aRuja -> anuja	[consensus,intra_dup,spell_correct]	morph✓
356	aRurUpa -> anurUpa	[consensus,intra_dup,spell_correct]	morph✓
356	aRusAra -> anusAra	[consensus,intra_dup,spell_correct]	morph✓
356	akzohiRI -> akzOhiRI	[consensus,intra_dup,spell_correct]	morph✓
356	anEka -> aneka	[consensus,intra_dup,spell_correct]	morph✓
356	anaga -> anaGa	[consensus,intra_dup,spell_correct]	morph✓
356	anarta -> anarTa	[consensus,intra_dup,spell_correct]	morph✓
356	anunA -> anumA	[consensus,intra_dup,spell_correct]	morph✓
356	atIBa -> atIva	[consensus,intra_dup,spell_correct]	morph✓
355	ajaganDa -> ajaganDA	[consensus,intra_dup,spell_correct]	morph✓
355	akzamAla -> akzamAlA	[consensus,intra_dup,spell_correct]	morph✓
355	anAvara -> anavara	[consensus,intra_dup,spell_correct]	morph✓
355	anavamA -> anavama	[consensus,intra_dup,spell_correct]	morph✓
355	anayA -> anaya	[consensus,intra_dup,spell_correct]	morph✓
355	anayaka -> anAyaka	[consensus,intra_dup,spell_correct]	morph✓
355	anuSAsanA -> anuSAsana	[consensus,intra_dup,spell_correct]	morph✓
355	anuSravika -> AnuSravika	[consensus,intra_dup,spell_correct]	morph✓
355	anulomika -> Anulomika	[consensus,intra_dup,spell_correct]	morph✓
355	anupAlanA -> anupAlana	[consensus,intra_dup,spell_correct]	morph✓
355	anuvartanA -> anuvartana	[consensus,intra_dup,spell_correct]	morph✓
