# SCH tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
475	Atas -> atas	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
475	akzA -> akza	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
475	yugA -> yuga	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	anANga -> anaNga	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	duHSasana -> duHSAsana	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	jAGana -> jaGana	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	jAva -> java	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
458	adama -> aDama	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	agaqa -> agada	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
375	marga -> mArga	[consensus,dict_vs_corpus,intra_dup]	morph✓
374	karRA -> karRa	[consensus,intra_dup,spell_correct]	morph✓
368	saNKa -> SaNKa	[consensus,intra_dup,spell_correct]	morph✓
365	matsarA -> matsara	[consensus,dict_vs_corpus,spell_correct]	morph✓
364	Ajira -> ajira	[consensus,intra_dup,spell_correct]	morph✓
364	ananyA -> ananya	[consensus,intra_dup,spell_correct]	morph✓
364	avaraRa -> AvaraRa	[consensus,intra_dup,spell_correct]	morph✓
364	cAraRA -> cAraRa	[consensus,intra_dup,spell_correct]	morph✓
364	jIvakA -> jIvaka	[consensus,intra_dup,spell_correct]	morph✓
364	kANka -> kaNka	[consensus,intra_dup,spell_correct]	morph✓
364	karala -> karAla	[consensus,intra_dup,spell_correct]	morph✓
364	pANkaja -> paNkaja	[consensus,intra_dup,spell_correct]	morph✓
364	pAdmarAga -> padmarAga	[consensus,intra_dup,spell_correct]	morph✓
364	pawolA -> pawola	[consensus,intra_dup,spell_correct]	morph✓
364	sArAsa -> sArasa	[consensus,intra_dup,spell_correct]	morph✓
364	sarAla -> sarala	[consensus,intra_dup,spell_correct]	morph✓
362	Bagini -> BaginI	[consensus,dict_vs_corpus,spell_correct]	morph✓
361	kftAYjalI -> kftAYjali	[consensus,intra_dup,spell_correct]	morph✓
360	ABra -> aBra	[consensus,dict_vs_corpus,intra_dup]	
360	mAnAsa -> mAnasa	[consensus,dict_vs_corpus,intra_dup]	
359	ASya -> Asya	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	aRU -> aRu	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	uluka -> ulUka	[consensus,dict_vs_corpus,spell_correct]	morph✓
358	nASikA -> nAsikA	[consensus,intra_dup,spell_correct]	morph✓
356	BAlaka -> bAlaka	[consensus,intra_dup,spell_correct]	morph✓
