dict	suspect	suggestion	status	cls_confidence	opus_confirm_reason	opus_review	review_fp_type	opus_review_reason
SHS	BUjajyA	BujajyA	NET_NEW	high	f. (-jyA) 'The base sine, (in astronomy.)' — no etymology; base = Buja 'arm' (cf. adjacent BujaSiras, BujA); MW/PW/AP/VCP/LRV: BujajyA.	fileable	none	'The base sine' = BujajyA; entry sits among Buja- entries (BujaNgAKya, BujaSiras, BujA), where BUja- would sort later.
SHS	BadrapIwa	BadrapIWa	NET_NEW	medium	Body: 'n. (-waM) A splendid seat, a throne' = bhadrapITha; SHS elsewhere has 13 pIWa keys, pIwa only here + kfpIwa (genuine).	fileable	none	L29089: 'n. (-waM) A splendid seat, a throne' = bhadrapITha; SHS lemma pIWa + kzitipIWa/pAdapIWa/pUgapIWa all W. No variant/apparatus note.
SHS	BrAtfbala	BrAtfvala	NET_NEW	medium	Body: 'Having a brother. E. BrAtf, valac aff.' - valac yields -vala; -bala undocumented.	fileable	none	L29921 own etymology 'E. BrAtf, valac aff.'; WIL L28989 BrAtfvala with same derivation; PW/PWG/VCP/AP/LRV agree (only YAT has b).
SHS	DubakA	DuvakA	NET_NEW	medium	Body: 'E. DU to agitate, kvun UnAdi aff.' - DU+aka gives Duvaka; neighbours Duvana, Duvitra show the same v-glide.	fileable	none	L20669 'E. DU to agitate, kvun aff.', neighbours Duvana/Duvitra; WIL L20683 DuvakA with identical gloss; MW/SKD/AP/MW72 DuvakA.
SHS	aByupetyaSuSrUzA	aByupetyASuSrUzA	NET_NEW	medium	f. 'head or title of law, disputes between master and servant. E. aByupetya ... a neg. SuSrUzA' — a+SuSrUzA = ASuSrUzA; wil L2759/MW/PW/VCP/AP: aByupetyASuSrUzA.	fileable	none	Own etym 'aByupetya having engaged, a neg. SuSrUzA service' requires aByupetya+aSuSrUzA = aByupetyASuSrUzA; Manu title of law.
SHS	dibA	divA	NET_NEW	high	'dibA ind. By day, the day. E. div to play, affix kA' - gloss and etymology are divA's; SHS has no divA entry and this sits directly before divAkara.	fileable	none	ind. 'By day, the day. E. div to play, affix kA' - derivation from div gives divA; WIL/MW have divA only, no dibA.
SHS	dudyuzu	dudyUzu	NET_NEW	medium	'Wishing to play with or brandish. E. {#div#} to play, desid. form, irr., {#u#} aff.' MW headword: dudyUzu (long U). No spelling note.	fileable	none	E. 'div to play, desid. form, u aff.' requires dudyUzu (cf. SHS duDUzat, buBUzu); MW dudyUzu. No lexicographic marker.
SHS	dvindriyagrAhya	dvIndriyagrAhya	NET_NEW	high	'Perceptible by two senses... E. {#dvi, indriya#} an organ of sense, {#grAhya#}': dvi+indriya = dvIndriya. MW: dvIndriyagrAhya. No variant note.	fileable	none	E. 'dvi, indriya' => dvi+indriya = dvI-; placed after dvihfdayA and before dvIpa, i.e. the long-I slot; MW dvIndriyagrAhya.
SHS	gaNgAdbAra	gaNgAdvAra	NET_NEW	high	Body: 'The place where the Ganga enters the plains; also Haridwar. E. gaNgA, and dvAra gate' - etymology gives dvAra, so 'db' is a scan error.	fileable	none	'The place where the Ganga enters the plains; also Haridwar. E. gaNgA and dvAra gate' - db is a scan slip for dv; WIL/MW gaNgAdvAra.
SHS	jamBari	jamBAri	NET_NEW	high	Body: "INDRA'S thunderbolt... E. jamBa the demon, and ari a foe" - a+a sandhi gives jamBAri; no variant spelling documented.	fileable	none	'E. jamBa the demon and ari a foe' + gloss jamBasya... ariH - jamBa+ari = jamBAri by sandhi; WIL/MW jamBAri only.
SHS	jvAlajihva	jvAlAjihva	NET_NEW	high	Body: 'AGNI, or fire. E. jAlA (jvAlA), and jihvA a tongue' - first member long-A jvAlA (cf. jvAlAgni, jvAlAmuKI), so jvAlAjihva.	fileable	none	'E. jAlA (=jvAlA) and jihvA' - first member ends in A; sorted between jvAlAgni and jvAlAmuKI, impossible for jvAla-; MW jvAlAjihva.
SHS	krOYcAdAna	krOYcAdana	NET_NEW	high	Body: 'Long pepper... E. krOYca the heron, and adana eating' - krOYca+adana = krOYcAdana with short -dana; no variant noted.	fileable	none	'Long pepper... E. krOYca the heron and adana eating' - adana gives krOYcAdana; WIL/MW krOYcAdana only, no krOYcAdAna.
SHS	kzaRadAcAra	kzaRadAcara	NET_NEW	high	Body: 'Nocturnal, nightwalker... E. kzaRadA night, and cara who or what goes' - second member short-a cara, so kzaRadAcara.	fileable	none	'mfn. (-raH-rI-raM) Nocturnal... E. kzaRadA night and cara who goes' - cara gives kzaRadAcara; WIL/MW kzaRadAcara.
SHS	metrAvaruRa	mEtrAvaruRa	NET_NEW	high	Body: 'E. mitra the sun, varuRa..., aR aff.' - vrddhi aR gives mE-; neighbours mEtraBa and mEtrAvaruRi both spelled mE-.	fileable	none	'E. mitra, varuRa, aR aff.' - aR forces vrddhi mE-; next entry mEtrAvaruRi in same mE- block; WIL/MW mEtrAvaruRa only.
SHS	muzwimuzwi	muzwImuzwi	NET_NEW	high	Ind. 'Fist to fist ... E. muzwi repeated in this sense, and the final made long' — the note requires long I; wil/MW/AP/AP90/LRV/PW: muzwImuzwi.	fileable	none	Etym 'muzwi repeated, and the final made long'; placed after all muzwi- entries and before muzRat, i.e. sorted as muzwI-.
SHS	nErASyA	nErASya	NET_NEW	high	Body 'n. (-SyaM) Despair. E. nirASa and zyaY aff.' - neuter -SyaM nom. requires stem nErASya; the key's final long A contradicts its own declension.	fileable	none	'n. (-SyaM) Despair. E. nirASa and zyaY aff.' - neuter stem in -SyaM = nErASya; final A spurious; WIL/MW have nErASya.
SHS	navagrahA	navagraha	NET_NEW	high	'm. plu. (-hAH) The nine planets. E. nava for navan, and graha a planet' — stem is graha (short a); final A spurious; wil/MW/PW/PWG/VCP: navagraha.	fileable	none	'm. plu. (-hAH)' gives nom.pl., stem = navagraha; etym 'nava for navan, and graha'; cf. azwadikpAla/-lAH, daSendriya/-yAH.
SHS	pAripAWya	pAripAwya	NET_NEW	high	Body: 'E. pari-pAwI orderly course, zyaY aff.' - base pAwI has w; gloss 'regularity' belongs to pariPAwI, no variant noted.	fileable	none	L24587 'E. pari-pAwI orderly course, zyaY aff.'; WIL L24513 pAripAwya, MW/PW/PWG/VCP/MW72 pAripAwya.
SHS	padminIballaBa	padminIvallaBa	NET_NEW	medium	'The sun. E. {#padminI#} a lotus, and {#ballaBa#} a friend.' No <k1>ballaBa< in SHS (only vallaBa); b/v error undocumented. MW: padminIvallaBa.	fileable	none	L23187 headword only; WIL L23201 padminIvallaBa (same gloss 'the sun'); SHS has 22 vallaBa headwords vs 2 ballaBa; MW/PW/PWG agree.
SHS	parRarUh	parRaruh	NET_NEW	medium	'm. (-ruw) The spring.' Nom. -ruw and SHS root entry <k1>ruh< are short u; compound-final -ruh never long.	fileable	none	L23918 m. (-ruw) 'The spring', cf. neighbour jalaruh (ruh+kvip); VCP/MW/PW parRaruh, VCP glosses vasantakAle.
SHS	parikzaRa	parIkzaRa	NET_NEW	high	'n. (-RaM) Trial, experiment... E. pari about, Ikz to see' - pari+Ikz gives parIkzaRa; entry sits in the parI- block (next: parIkzaRIya, parIkzA), no parIkzaRa entry exists.	fileable	none	'n. (-RaM) Trial... E. pari, Ikz to see, lyuw' - pari+Ikz = parIkz; neighbours parIkzaka/parIkzaRIya; WIL/MW parIkzaRa only.
SHS	parinala	parimala	NET_NEW	high	Body: 'An exquisite scent... E. pari extension, mal to increase, aff. ac' - pari+mal=parimala; sits between parimarddana and parimalita (E. parimala).	fileable	none	'exquisite scent... E. pari, mal to increase, ac' - mal gives parimala; next entry parimalita cites E. parimala; WIL/MW parimala.
SHS	paripadIn	paripadin	NET_NEW	high	m. (-dI) 'An enemy. E. pari against, pad to go, ini aff.' — ini gives an -in stem (cf. neighbouring paripanTin); wil/MW/MW72/PW/BUR/YAT: paripadin.	fileable	none	'm. (-dI)' with 'ini aff.' - SHS heads in-stems by the stem (cf. paripanTin m. (-nTI), vAgmin), so paripadin.
SHS	prARinizu	prARiRizu	NET_NEW	medium	SHS L27826 'mfn. Wishing for life. E. prARa nom. v., desid. form, u aff.' = MW/PW/PWG prARiRizu 'wishing to live' (Pan. 8.4.21); no variant noted.	fileable	none	Sorted before prARidyUta and prARin, i.e. the R slot (R<d<n), so print had prARiRizu; MW prARiRizu. E. 'prARa nom. v., desid.'
SHS	pracayaRa	pracayana	NET_NEW	medium	Full body: 'n. ({#-RaM#}) Collecting, gathering.' No etym, no variant note; palatal c blocks Ratva. MW has pra-cayana only.	fileable	none	'n. (-RaM) Collecting, gathering', no marker; SHS's own cayana, vicayana, saYcayana all dental n; MW has pracayana.
SHS	pranipAta	praRipAta	NET_NEW	high	Body: 'Salutation, reverence, obeisance... E. pra and ni before, pat to go, aff. GaY'; neighbours praRipatya and praRipAtarasa show natva praRi-.	fileable	none	'Salutation, obeisance. E. pra and ni, pat, GaY' - Ratva obligatory; sits before praRipAtarasa/praRihita in the praRi- block; WIL/MW praRipAta.
SHS	pravyahAra	pravyAhAra	NET_NEW	medium	Body: 'Prolongation of discourse' (no etymology); SHS has headword vyAhAra (long A) and no vyahAra, so pra+vyAhAra.	fileable	none	'm. Prolongation of discourse' - only pra+vi+A+hf > pravyAhAra can yield this sense; no apparatus note; MW has pravyAhAra (3x), no pravyahAra.
SHS	saMyuyuzu	saMyuyUzu	NET_NEW	medium	'Wishing to mix, join... E. {#sam#} before {#yu#} to join, desid. v., {#u#} aff.' MW headword: saM-yuyUzu (long U). No variant note.	fileable	none	E. 'sam before yu to join, desid. v., u aff.' requires yuyUzu (cf. SHS pratirurUzu, prorRunUzu); MW saMyuyUzu.
SHS	tEmana	temana	NET_NEW	high	Body: 'Wetting, moistening; a sauce. E. {#tim#} to be wet, affix {#lyuw#}' - lyuT gives guna temana; MW has temana (3), no tEmana.	fileable	none	L17859: 'E. tim to be wet, affix lyuw' = temana (no vrddhi stated); alphabetised as temana (tema < X < teva < tevana). No separate temana entry.
SHS	vAgvanDana	vAgbanDana	NET_NEW	high	n. (-naM) 'Stopping any one's speech. E. vAk, vanDana obstructing' — obstructing = banDana; wil/MW/PW/CAE/CCS all have vAgbanDana. No v.l. marker.	fileable	none	Gloss 'Stopping speech'/'obstructing' = banDana; 'vanDana' occurs only here and in sannibanDana's etym (headword there has b) - v/b typo.
SHS	virukzaRa	virUkzaRa	NET_NEW	high	Body: 'Astringent, drying... E. vi before rUkz to be rough, aff. lyuw' - own etymology gives long-U rUkz, so virUkzaRa; no variant documented.	fileable	none	'Astringent, drying... E. vi before rUkz to be rough, lyuw' - rUkz gives virUkzaRa; sorted after virudDAnna (U-block); MW virUkzaRa.
SHS	BUnaya	BUmaya	BOTH_RUNS	high	Body: 'Made of ... the earth. E. BU earth, and mayaw aff.' - mayaw gives -maya; -naya undocumented.	fileable	none	L29667 'E. BU earth, and mayaw aff.', sits between BUman and BUmi; WIL L28758 BUmaya, same gloss (Chaya); PWG/VCP/AP agree.
SHS	BadraballI	BadravallI	BOTH_RUNS	high	Body etym: '{#Badra#} lucky, {#vallI#} a creeper' - v-form in the same entry; ballI in only 2 SHS keys vs 26 vallI.	fileable	none	L29099: 'E. Badra lucky, vallI a creeper' - v in own etymology; placed in the v-slot (after BadravatI/Badravarmman, before BadraSraya).
SHS	SilAbalkA	SilAvalkA	BOTH_RUNS	high	Body etym: '{#SilA#} a stone, and {#valka#} bark; also termed {#SilAvalkala, SilAtvac#}' - v twice in the same entry.	fileable	none	L40234: 'E. SilA a stone, and valka bark; also termed SilAvalkala, SilAtvac' - entry itself spells valka/valkala with v; sits in v-slot before SilAvfzwi.
SHS	akASadIpa	AkASadIpa	BOTH_RUNS	high	m. (-paH) lamp on a pole at Dewali; E. 'AkASa and dIpa', 'also AkASapradIpaH' — body itself spells long A twice; wil/MW/PW/PWG have AkASadIpa.	fileable	none	Etym 'E. AkASa and dIpa; also AkASapradIpaH'; sits between AkASajananin and AkASaBAzita. Plain dropped length.
SHS	diDizupati	diDizUpati	BOTH_RUNS	high	Body: 'E. diDizU as above, and pati a husband'; preceding entry is diDizU (long U). No variant documented.	fileable	none	Etym 'E. diDizU as above, and pati'; preceding entry is diDizU (-zUH). Headword lost the U length.
SHS	ditisUta	ditisuta	BOTH_RUNS	high	Body: 'Titan or giant. E. {#diti#} as above, and {#suta#} a son' - etym spells suta (short u); MW has ditisuta, no ditisUta.	fileable	none	L18930: 'm. (-taH) Titan or giant. E. diti as above, and suta a son.' Own etymology gives short-u suta; no v.l./w.r. note.
SHS	divaspfTibI	divaspfTivI	BOTH_RUNS	high	f. du. 'Heaven and earth. E. diva heaven, and pfTivI earth' — body itself spells pfTivI with v; wil/PW/CAE/CCS/VCP/YAT: divaspfTivI (same page has b/v slip 'dibA').	fileable	none	Etym 'E. diva heaven, and pfTivI earth' contradicts the -bI headword; same b/v slip as neighbouring dibA (for divA).
SHS	drabaja	dravaja	BOTH_RUNS	high	Body: 'Treacle. E. {#drava#}, and {#ja#} born. {#dravAt jAyate...#}' - drava with v twice; drabaja is the only b-form key.	fileable	none	L19922: 'E. drava, and ja born. dravAt jAyate' - both etymology and citation have v; placed between drava and dravaRa, i.e. the dravaja slot.
SHS	hastisuRqA	hastiSuRqA	BOTH_RUNS	high	Body: 'E. hastin an elephant, SuRqA the trunk' - palatal S in its own etymology; headword's dental s undocumented.	fileable	none	L46797 etymology 'E. hastin an elephant, SuRqA the trunk'; WIL L44136 and MW/PW/VCP/SKD all read hastiSuRqA.
SHS	jAmbunadamaya	jAmbUnadamaya	BOTH_RUNS	high	mfn. 'Golden, made of gold. E. jAmbUnada and mayaw aff.' — etymology has long U; wil/MW/PW/CAE/YAT: jAmbUnadamaya.	fileable	none	Etym 'E. jAmbUnada and mayaw aff.'; preceding entry jAmbUnada. Headword lost the U length.
SHS	jalarupa	jalarUpa	BOTH_RUNS	high	Body: 'E. jala, and rUpa form' plus Skt gloss 'iva rUpam asya'; both give long U.	fileable	none	L16026 'E. jala, and rUpa form' + Skt gloss rUpam asya; WIL L16055 jalarUpa, same gloss 'fish of KAMADEVA'.
SHS	kAlyaRineya	kAlyARineya	BOTH_RUNS	high	mfn. 'Sprung from a virtuous woman. E. kalyARI, and Qak affix, inaYa inserted' — vrddhi of kalyARI gives kAlyARi-; wil/MW/MW72/PW/PWG: kAlyARineya.	fileable	none	Etym 'E. kalyARI, Qak affix, inaY inserted' - base kalyARI has long A in -lyA-, so vrddhi form is kAlyARineya.
SHS	kAzwakuddAla	kAzWakuddAla	BOTH_RUNS	high	Body: 'E. kAzWa wood, and kuddAla shovel; also ... kAzWakUddAla' - kAzWa with W twice in the entry itself.	fileable	none	L10334 'E. kAzWa wood' and variant 'kAzWakUddAla'; WIL L10340 + MW/PW/PWG/VCP/YAT/LRV all kAzWakuddAla.
SHS	klItakika	klItakikA	BOTH_RUNS	high	Body: 'f. ({#-kA#}) The indigo plant' - SHS lists fem. a-stems with -A headword (cf. BadramallikA f. -kA); MW has klItakikA, not klItakika.	fileable	none	L12137: 'f. (-kA) The indigo plant ... kan pleonastic, the fem. form' - f.-only noun, so stem needs final A; 814 -ikA vs 4 -ika headwords.
SHS	kzIraballI	kzIravallI	BOTH_RUNS	high	Body etym: '{#kzIra#} water, and {#vallI#} pedicle' - v-form in the same entry; ballI occurs in only 2 SHS keys vs 26 vallI.	fileable	none	L12386: 'E. kzIra water, and vallI pedicle' - own etymology has v; entry sits in v-slot (after kzIrayazwika, before kzIravikfti), 25 other -vallI cpds.
SHS	laGizwa	laGizWa	BOTH_RUNS	high	Body: 'mfn. ({#-zWaH-zWA-zWaM#}) Lightest... {#izWan#} aff. of the irr. superlative' - inflections and affix use W; MW has laGizWa.	fileable	none	L34060: inflections '(-zWaH-zWA-zWaM)' and 'izWan aff. of the irr. superlative' both give zWa; headword zwa contradicts its own body.
SHS	murali	muralI	BOTH_RUNS	high	Body: 'f. (-lI) A flute, a pipe. E. mura..., affs. ka and NIz' - NIz gives obligatory long I; neighbour muralIDara glosses 'E. muralI a flute'.	fileable	none	'f. (-lI) A flute... affs. ka and NIz' - NIz makes an I-stem; next entry muralIDara cites E. muralI; WIL/MW muralI.
SHS	navakArika	navakArikA	BOTH_RUNS	high	'f. (-kA) A bride ... E. nava new, and kArikA agent' — both paren and etymology show -kArikA; wil/MW/PW/AP/VCP/SKD/LRV: navakArikA.	fileable	none	'f. (-kA)' with etym 'nava and kArikA agent'; neighbour navakAlikA f. (-kA) keeps final A. Dropped final A.
SHS	ninittakAla	nimittakAla	BOTH_RUNS	high	Body: 'Any given or specific time. E. {#nimitta#}, and {#kAla#} time.' Etym spells nimitta; SHS has <k1>nimitta<, no ninitta. MW: nimittakAla.	fileable	none	L21772 'E. nimitta, and kAla time'; WIL L21785 nimittakAla, same gloss; flanked by nimittakAraRa/nimittatva.
