# PW tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
375	idAm -> idam	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	paka -> pAka	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	rAjAn -> rAjan	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	rakzasa -> rAkzasa	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	vAcas -> vacas	[consensus,dict_vs_corpus,intra_dup]	morph✓
369	SUci -> Suci	[consensus,dict_vs_corpus,intra_dup]	morph✓
369	gurU -> guru	[consensus,dict_vs_corpus,intra_dup]	morph✓
367	Az -> As	[consensus,dict_vs_corpus,intra_dup]	morph✓
367	duHka -> duHKa	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	SASvat -> SaSvat	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	SAraRa -> SaraRa	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	anDAka -> anDaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	candrAyaRa -> cAndrAyaRa	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	dARqaka -> daRqaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	hAraRa -> haraRa	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	hawaka -> hAwaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	kevAla -> kevala	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	lAkza -> lakza	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	nApuMsaka -> napuMsaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	santva -> sAntva	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	satkara -> satkAra	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	triguRA -> triguRa	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	vAkra -> vakra	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	vacaka -> vAcaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	viBAj -> viBaj	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	vikrAya -> vikraya	[consensus,dict_vs_corpus,intra_dup]	morph✓
362	aYjalI -> aYjali	[consensus,dict_vs_corpus,intra_dup]	morph✓
362	kiriwa -> kirIwa	[consensus,dict_vs_corpus,intra_dup]	morph✓
362	pIz -> piz	[consensus,dict_vs_corpus,intra_dup]	morph✓
360	Arjuna -> arjuna	[consensus,dict_vs_corpus,intra_dup]	
360	bIjA -> bIja	[consensus,dict_vs_corpus,intra_dup]	
360	kuSAla -> kuSala	[consensus,dict_vs_corpus,intra_dup]	
359	Asaya -> ASaya	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	SraMs -> sraMs	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	anUbanDa -> anubanDa	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	banDU -> banDu	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	fjU -> fju	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	suBra -> SuBra	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	DAyaka -> dAyaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	canDana -> candana	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	saMvADa -> saMvAda	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	vADin -> vAdin	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	Barya -> varya	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	bidura -> vidura	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	durvala -> durbala	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	kzeRa -> kzema	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	niva -> niBa	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	pUrvAhna -> pUrvAhRa	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	rIwi -> rIti	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	ravasa -> raBasa	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	sanIpa -> samIpa	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	vARaprasTa -> vAnaprasTa	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	vamya -> vanya	[consensus,dict_vs_corpus,intra_dup]	morph✓
355	dAyA -> dAya	[consensus,dict_vs_corpus,intra_dup]	morph✓
353	kuzwa -> kuzWa	[consensus,dict_vs_corpus,intra_dup]	
353	madura -> maDura	[consensus,dict_vs_corpus,intra_dup]	
352	mArada -> nArada	[consensus,dict_vs_corpus,intra_dup]	
350	drupAda -> drupada	[consensus,dict_vs_corpus,intra_dup]	
350	dviguRA -> dviguRa	[consensus,dict_vs_corpus,intra_dup]	
350	guRAy -> guRay	[consensus,dict_vs_corpus,intra_dup]	
350	kApola -> kapola	[consensus,dict_vs_corpus,intra_dup]	
350	parvatI -> pArvatI	[consensus,dict_vs_corpus,intra_dup]	
350	sAkASa -> sakASa	[consensus,dict_vs_corpus,intra_dup]	
350	upA -> upa	[consensus,dict_vs_corpus,intra_dup]	
350	vigrAha -> vigraha	[consensus,dict_vs_corpus,intra_dup]	
350	vijAna -> vijana	[consensus,dict_vs_corpus,intra_dup]	
350	yAzwi -> yazwi	[consensus,dict_vs_corpus,intra_dup]	
347	mahizi -> mahizI	[consensus,dict_vs_corpus,intra_dup]	
347	nIvid -> nivid	[consensus,dict_vs_corpus,intra_dup]	
347	nirguRqi -> nirguRqI	[consensus,dict_vs_corpus,intra_dup]	
344	vinAsa -> vinASa	[consensus,dict_vs_corpus,intra_dup]	
343	DAyin -> dAyin	[consensus,dict_vs_corpus,intra_dup]	
342	Braja -> vraja	[consensus,dict_vs_corpus,intra_dup]	
342	avimAna -> aBimAna	[consensus,dict_vs_corpus,intra_dup]	
342	cattra -> Cattra	[consensus,dict_vs_corpus,intra_dup]	
342	gOpa -> gopa	[consensus,dict_vs_corpus,intra_dup]	
342	hiramya -> hiraRya	[consensus,dict_vs_corpus,intra_dup]	
342	nirbARa -> nirvARa	[consensus,dict_vs_corpus,intra_dup]	
342	uq -> ud	[consensus,dict_vs_corpus,intra_dup]	
274	duHKA -> duHKa	[consensus,intra_dup]	morph✓
271	vfdDI -> vfdDi	[consensus,intra_dup]	morph✓
268	paSU -> paSu	[consensus,intra_dup]	morph✓
265	mfttika -> mfttikA	[consensus,dict_vs_corpus]	morph✓
265	prasAd -> prasad	[consensus,dict_vs_corpus]	morph✓
264	Amara -> amara	[consensus,intra_dup]	morph✓
264	Arcana -> arcana	[consensus,intra_dup]	morph✓
264	jAnapAda -> jAnapada	[consensus,intra_dup]	morph✓
262	medini -> medinI	[consensus,dict_vs_corpus]	morph✓
261	durmatI -> durmati	[consensus,intra_dup]	morph✓
261	granTI -> granTi	[consensus,intra_dup]	morph✓
261	prAYjalI -> prAYjali	[consensus,intra_dup]	morph✓
261	rItI -> rIti	[consensus,intra_dup]	morph✓
