# WIL tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
459	misra -> miSra	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
366	zuBa -> SuBa	[consensus,intra_dup,spell_correct]	morph✓
358	BraMsa -> BraMSa	[consensus,intra_dup,spell_correct]	morph✓
357	Bila -> bila	[consensus,dict_vs_corpus,intra_dup]	morph✓
356	vuDa -> buDa	[consensus,intra_dup,spell_correct]	morph✓
347	CikkaRa -> cikkaRa	[consensus,intra_dup,spell_correct]	morph✓
347	agnivAhu -> agnibAhu	[consensus,intra_dup,spell_correct]	morph✓
347	garGa -> garga	[consensus,intra_dup,spell_correct]	morph✓
347	tOka -> toka	[consensus,intra_dup,spell_correct]	morph✓
347	zumBa -> SumBa	[consensus,intra_dup,spell_correct]	morph✓
345	azwApAda -> azwapAda	[consensus,intra_dup,spell_correct]	morph✓
339	Svaja -> svaja	[consensus,intra_dup,spell_correct]	morph✓
337	devaballaBa -> devavallaBa	[consensus,intra_dup,spell_correct]	morph✓
337	heQa -> heqa	[consensus,intra_dup,spell_correct]	morph✓
337	marSaRa -> marzaRa	[consensus,intra_dup,spell_correct]	morph✓
337	nirBidya -> nirvidya	[consensus,intra_dup,spell_correct]	morph✓
327	Turva -> turva	[consensus,intra_dup,spell_correct]	morph✓
325	aparADita -> aparADitA	[consensus,intra_dup,spell_correct]	morph✓
324	maYja -> maYjA	[consensus,intra_dup,spell_correct]	morph✓
322	zaYja -> saYja	[consensus,intra_dup,spell_correct]	
318	hewa -> heWa	[consensus,intra_dup,spell_correct]	morph✓
317	JUza -> jUza	[consensus,intra_dup,spell_correct]	morph✓
317	kzIrapAyiR -> kzIrapAyin	[consensus,intra_dup,spell_correct]	morph✓
304	Svaga -> svaga	[consensus,intra_dup,spell_correct]	
302	Jarja -> jarja	[consensus,intra_dup,spell_correct]	
272	arda -> arDa	[dict_vs_corpus,spell_correct]	morph✓
271	vasAna -> vasana	[dict_vs_corpus,spell_correct]	morph✓
270	bA -> vA	[dict_vs_corpus,spell_correct]	morph✓
270	zarva -> sarva	[dict_vs_corpus,spell_correct]	morph✓
