# MW72 tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
467	Rad -> mad	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	Agnihotra -> agnihotra	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	cinta -> cintA	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
458	abdi -> abDi	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
458	anda -> anDa	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	ED -> eD	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	baNga -> BaNga	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	prasaNGa -> prasaNga	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
372	vIviDa -> viviDa	[consensus,dict_vs_corpus,intra_dup]	morph✓
371	SaktI -> Sakti	[consensus,intra_dup,spell_correct]	morph✓
371	hIta -> hita	[consensus,intra_dup,spell_correct]	morph✓
371	vira -> vIra	[consensus,intra_dup,spell_correct]	morph✓
365	AmA -> Ama	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	avAs -> avas	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	upAdru -> upadru	[consensus,dict_vs_corpus,intra_dup]	morph✓
364	Ad -> ad	[consensus,intra_dup,spell_correct]	morph✓
364	saNgA -> saNga	[consensus,intra_dup,spell_correct]	morph✓
364	upAhAra -> upahAra	[consensus,intra_dup,spell_correct]	morph✓
364	vilasa -> vilAsa	[consensus,intra_dup,spell_correct]	morph✓
361	vikftI -> vikfti	[consensus,intra_dup,spell_correct]	morph✓
359	ASad -> Asad	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	saMSad -> saMsad	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	suz -> Suz	[consensus,intra_dup,spell_correct]	morph✓
358	svaSura -> SvaSura	[consensus,intra_dup,spell_correct]	morph✓
357	Apaw -> Apat	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	pratikF -> pratikf	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	samuddf -> samudDf	[consensus,intra_dup,spell_correct]	morph✓
356	jamva -> jamBa	[consensus,intra_dup,spell_correct]	morph✓
356	niSad -> nizad	[consensus,intra_dup,spell_correct]	morph✓
356	sTana -> stana	[consensus,intra_dup,spell_correct]	morph✓
356	viham -> vihan	[consensus,intra_dup,spell_correct]	morph✓
355	AsparSa -> asparSa	[consensus,intra_dup,spell_correct]	morph✓
355	aDiBOtika -> ADiBOtika	[consensus,intra_dup,spell_correct]	morph✓
355	ahnika -> Ahnika	[consensus,intra_dup,spell_correct]	morph✓
355	pArAvara -> parAvara	[consensus,intra_dup,spell_correct]	morph✓
355	pacAna -> pacana	[consensus,intra_dup,spell_correct]	morph✓
355	vilAya -> vilaya	[consensus,intra_dup,spell_correct]	morph✓
354	adakziRA -> adakziRa	[consensus,intra_dup,spell_correct]	morph✓
354	ramARa -> ramaRa	[consensus,intra_dup,spell_correct]	morph✓
354	saMvAh -> saMvah	[consensus,intra_dup,spell_correct]	morph✓
354	vigAma -> vigama	[consensus,intra_dup,spell_correct]	morph✓
352	svaDitI -> svaDiti	[consensus,intra_dup,spell_correct]	morph✓
352	wikA -> wIkA	[consensus,intra_dup,spell_correct]	morph✓
351	SAlina -> SAlIna	[consensus,intra_dup,spell_correct]	morph✓
351	saMSi -> saMSI	[consensus,intra_dup,spell_correct]	morph✓
350	saman -> sAman	[consensus,dict_vs_corpus,intra_dup]	
350	sayujya -> sAyujya	[consensus,dict_vs_corpus,intra_dup]	
350	viSala -> viSAla	[consensus,dict_vs_corpus,intra_dup]	
349	puraka -> pUraka	[consensus,intra_dup,spell_correct]	morph✓
348	SUti -> sUti	[consensus,intra_dup,spell_correct]	morph✓
347	Aviz -> Avis	[consensus,dict_vs_corpus,intra_dup]	morph✓
347	jAvAli -> jAbAli	[consensus,intra_dup,spell_correct]	morph✓
346	Sikarin -> SiKarin	[consensus,intra_dup,spell_correct]	morph✓
346	aBya -> avya	[consensus,intra_dup,spell_correct]	morph✓
346	balita -> valita	[consensus,intra_dup,spell_correct]	morph✓
346	laliTa -> lalita	[consensus,intra_dup,spell_correct]	morph✓
346	reBat -> revat	[consensus,intra_dup,spell_correct]	morph✓
346	vADana -> bADana	[consensus,intra_dup,spell_correct]	morph✓
345	aGfRA -> aGfRa	[consensus,intra_dup,spell_correct]	morph✓
345	ahika -> Ahika	[consensus,intra_dup,spell_correct]	morph✓
345	avAkara -> avakara	[consensus,intra_dup,spell_correct]	morph✓
345	druhA -> druha	[consensus,intra_dup,spell_correct]	morph✓
344	apraRa -> aprARa	[consensus,intra_dup,spell_correct]	morph✓
344	kArRAwaka -> karRAwaka	[consensus,intra_dup,spell_correct]	morph✓
344	pariBAvya -> pAriBAvya	[consensus,intra_dup,spell_correct]	morph✓
344	praSad -> prasad	[consensus,dict_vs_corpus,intra_dup]	
344	samarARa -> samaraRa	[consensus,intra_dup,spell_correct]	morph✓
344	syA -> sya	[consensus,intra_dup,spell_correct]	morph✓
343	niraS -> niras	[consensus,intra_dup,spell_correct]	
342	CardIkA -> CardikA	[consensus,intra_dup,spell_correct]	morph✓
342	aBIruc -> aBiruc	[consensus,intra_dup,spell_correct]	morph✓
342	nIrasana -> nirasana	[consensus,intra_dup,spell_correct]	morph✓
342	vratatI -> vratati	[consensus,intra_dup,spell_correct]	morph✓
341	vIvfta -> vivfta	[consensus,intra_dup,spell_correct]	morph✓
341	viSad -> vizad	[consensus,intra_dup,spell_correct]	
340	avASya -> avaSya	[consensus,intra_dup,spell_correct]	
340	avAcCid -> avacCid	[consensus,intra_dup,spell_correct]	
340	mImAMsa -> mImAMsA	[consensus,intra_dup,spell_correct]	
340	pArva -> parva	[consensus,intra_dup,spell_correct]	
339	prastUta -> prastuta	[consensus,intra_dup,spell_correct]	morph✓
339	sPurjaka -> sPUrjaka	[consensus,intra_dup,spell_correct]	morph✓
338	SAlura -> SAlUra	[consensus,intra_dup,spell_correct]	morph✓
338	SaMrAj -> saMrAj	[consensus,intra_dup,spell_correct]	morph✓
338	sAKowa -> SAKowa	[consensus,intra_dup,spell_correct]	morph✓
337	aBimarDa -> aBimarda	[consensus,intra_dup,spell_correct]	morph✓
337	avyati -> avyaTi	[consensus,intra_dup,spell_correct]	morph✓
337	barhiska -> barhizka	[consensus,intra_dup,spell_correct]	morph✓
337	ceka -> Ceka	[consensus,intra_dup,spell_correct]	morph✓
337	mARimanta -> mARimanTa	[consensus,intra_dup,spell_correct]	morph✓
337	nirBidya -> nirvidya	[consensus,intra_dup,spell_correct]	morph✓
337	wowaka -> towaka	[consensus,intra_dup,spell_correct]	morph✓
337	yaBya -> yavya	[consensus,intra_dup,spell_correct]	morph✓
336	aBipsita -> aBIpsita	[consensus,intra_dup,spell_correct]	
335	dASaSiras -> daSaSiras	[consensus,intra_dup,spell_correct]	morph✓
335	paYcA -> paYca	[consensus,intra_dup,spell_correct]	morph✓
335	tatfpi -> tAtfpi	[consensus,intra_dup,spell_correct]	morph✓
334	apramARika -> aprAmARika	[consensus,intra_dup,spell_correct]	morph✓
334	fjUya -> fjUyA	[consensus,intra_dup,spell_correct]	morph✓
334	sAkala -> SAkala	[consensus,dict_vs_corpus,intra_dup]	
334	sAtrAsaha -> sAtrAsAha	[consensus,intra_dup,spell_correct]	morph✓
332	apAm -> apAn	[consensus,intra_dup,spell_correct]	
331	snIhitI -> snIhiti	[consensus,intra_dup,spell_correct]	morph✓
329	sacAna -> sacana	[consensus,intra_dup,spell_correct]	
328	aDvayat -> advayat	[consensus,intra_dup,spell_correct]	morph✓
328	bUkkan -> bukkan	[consensus,intra_dup,spell_correct]	morph✓
328	danuza -> Danuza	[consensus,intra_dup,spell_correct]	morph✓
326	vEjavApi -> bEjavApi	[consensus,intra_dup,spell_correct]	morph✓
325	hindolA -> hindola	[consensus,intra_dup,spell_correct]	morph✓
325	vipaSin -> vipASin	[consensus,intra_dup,spell_correct]	morph✓
325	wANkAra -> wANkara	[consensus,intra_dup,spell_correct]	morph✓
324	AkarRya -> akarRya	[consensus,intra_dup,spell_correct]	morph✓
324	DyAtvA -> DyAtva	[consensus,intra_dup,spell_correct]	morph✓
324	hrad -> hrAd	[consensus,intra_dup,spell_correct]	morph✓
324	parizvajAna -> parizvajana	[consensus,intra_dup,spell_correct]	morph✓
324	prAdAya -> pradAya	[consensus,intra_dup,spell_correct]	morph✓
324	samASvasya -> samASvAsya	[consensus,intra_dup,spell_correct]	morph✓
322	yUnI -> yUni	[consensus,intra_dup,spell_correct]	morph✓
321	apivfta -> apIvfta	[consensus,intra_dup,spell_correct]	morph✓
321	hItvA -> hitvA	[consensus,intra_dup,spell_correct]	morph✓
321	niBf -> nivf	[consensus,intra_dup,spell_correct]	
321	uSita -> uzita	[consensus,intra_dup,spell_correct]	
319	vipanya -> vipanyA	[consensus,intra_dup,spell_correct]	
318	santu -> Santu	[consensus,intra_dup,spell_correct]	morph✓
318	sukam -> Sukam	[consensus,intra_dup,spell_correct]	morph✓
317	baNgAla -> vaNgAla	[consensus,intra_dup,spell_correct]	morph✓
317	otsa -> Otsa	[consensus,intra_dup,spell_correct]	morph✓
317	yogaka -> yOgaka	[consensus,intra_dup,spell_correct]	morph✓
316	amahan -> anahan	[consensus,intra_dup,spell_correct]	morph✓
316	vAhirvedika -> bAhirvedika	[consensus,intra_dup,spell_correct]	morph✓
313	viSrAvya -> visrAvya	[consensus,intra_dup,spell_correct]	
310	apavfta -> apAvfta	[consensus,intra_dup,spell_correct]	
310	sanDya -> sanDyA	[consensus,intra_dup,spell_correct]	
310	santapana -> sAntapana	[consensus,intra_dup,spell_correct]	
309	dAhanIya -> dahanIya	[consensus,intra_dup,spell_correct]	
309	prATayat -> praTayat	[consensus,intra_dup,spell_correct]	
309	sannipAtita -> sannipatita	[consensus,intra_dup,spell_correct]	
309	sannyAsika -> sAnnyAsika	[consensus,intra_dup,spell_correct]	
309	vyapanIya -> vyApanIya	[consensus,intra_dup,spell_correct]	
306	SIr -> Sir	[consensus,intra_dup,spell_correct]	
303	saMrUzita -> saMruzita	[consensus,intra_dup,spell_correct]	
303	vakUla -> vakula	[consensus,intra_dup,spell_correct]	
301	Agf -> AGf	[consensus,intra_dup,spell_correct]	
301	veni -> veRi	[consensus,intra_dup,spell_correct]	
274	sattvA -> sattva	[consensus,spell_correct]	morph✓
271	vasAna -> vasana	[dict_vs_corpus,spell_correct]	morph✓
