# H453 blind second annotation, 10-07-2026. Annotator B = Opus 4.8 (claude-opus-4-8),
# 10 parallel general-purpose agents, fresh prompt, evidence = irr_inputs.tsv rows only
# (dict, wrong, right, wrong_entry_text, right_entry_text) -- NO access to the original
# verdicts, notes, prompts, or tier labels. Inputs built by detectors/irr_build_inputs.py;
# agreement computed by detectors/irr_agreement.py. Label set: PASS | SCAN-FIRST |
# EDITORIAL | DNF | DROP (same five-way taxonomy as file_first_verified.tsv).
row_id	a2_label	a2_reason
001	PASS	Etymology 'BU earth, and mayaw aff.' yields BUmaya; headword's 'n' is an m-misread.
002	PASS	Etymology 'Badra lucky, vallI a creeper' spells vallI; headword's ballI is b/v error.
003	PASS	Etymology 'valka bark' plus variant SilAvalkala confirm valka; headword balkA is b/v error.
004	PASS	Etymology spells AkASa (long initial a); headword's short akASa is the error.
005	PASS	Etymology 'diDizU as above, and pati' spells long U; headword diDizu is the error.
006	PASS	Etymology 'suta a son' spells short u; headword ditisUta long U is the error.
007	PASS	Etymology 'pfTivI earth' spells v; headword pfTibI is b/v error.
008	PASS	Etymology 'drava' and gloss dravAt jAyate spell drava; headword draba is b/v error.
009	PASS	Etymology 'SuRqA the trunk' spells S; headword's lowercase s is the error.
010	PASS	Inflection -vAn, matup affix, variant jAmbuvat confirm vat; headword bab is b/v error.
011	PASS	Etymology spells jAmbUnada (long U); headword short jAmbunada is the error.
012	PASS	Etymology 'rUpa form' and gloss rUpam spell long U; headword rupa is the error.
013	DROP	No entry under kARqapfzwa in current source; only corrected form exists -- stale candidate.
014	PASS	Etymology kalyARI + Qak yields -R-; body proves kAlyARineya.
015	PASS	Etymology kAzWa wood and variant kAzWakUddAla spell zW decisively.
016	PASS	Body gives f. (-kA) and 'fem. form'; feminine headword klItakikA required.
017	PASS	Etymology vallI pedicle proves v, not b.
018	PASS	Inflection -zWaH-zWA-zWaM and izWan superlative affix prove zW.
019	SCAN-FIRST	Body only defines Vetasa plant; silent on i vs I in maYjarI -- check scan.
020	PASS	f. (-lI) inflection and NIz affix match only muralI.
021	SCAN-FIRST	Body gives only gloss, no etymology; u vs U undecided by entry alone.
022	PASS	f. (-kA) inflection and etymology kArikA prove feminine navakArikA.
023	PASS	Etymology nimitta + kAla proves m, not n.
024	PASS	Etymology BUruha 'a tree' proves short u in final syllable.
025	PASS	Etymology spells pAnIyamiva -- pAnIya, confirming headword's pAniya is the error.
026	PASS	Etymology paNka 'mud' spells paNka; headword paNKa is the digitization error.
027	PASS	Etymology azWIvat 'knee' spells azWIva; headword azwIva is wrong.
028	SCAN-FIRST	Definition 'epithet of Shiva' only; no etymology to confirm rupa vs rUpa. Check page.
029	SCAN-FIRST	Indeclinable 'along the road'; body silent on final -n vs -m. Scan needed.
030	SCAN-FIRST	Inflection -zaH matches veza not proposed veSa; body doesn't support correction. Scan.
031	SCAN-FIRST	Gloss 'medicinal root' only; body silent on purUza vs puruza. Check page.
032	PASS	Gloss 'The seventieth' is uniquely saptatitama (from saptati); saptAti is no word.
033	PASS	Etymology valkala 'bark' spells valkala; headword balkala is the error.
034	PASS	Etymology vacana + Wak affix (-ika) yields vAcanika, not vAcanIka.
035	PASS	Etymology vArttA + ayana yields vArttAyana; headword's short a is wrong.
036	PASS	Etymology vizama spells vizama with z; headword viSama is the error.
037	PASS	Body present-tense form suhyati spells s, contradicting headword z; correct root suh proven.
038	EDITORIAL	Corrected spelling akza-dyUta exists as its own entry ('Idem.'); collision needs editorial merge.
039	SCAN-FIRST	Definition 'of the afternoon' fits aparAhRika but body never spells the R; check page.
040	PASS	All inflections (naBati, naByati, naBnAti) begin n, proving headword should be naB not RaB.
041	EDITORIAL	Corrected niS already exists as separate homograph entry ('Night'); collision, editorial call.
042	PASS	Inflections niMkte, nenekti, nenikte all begin n, proving root nij not Rij.
043	SCAN-FIRST	Long-A aSanAyA plausible but body only says 'Hunger'; spelling not decided by body.
044	SCAN-FIRST	ambu vs ambU (short/long u) undecided by body; 'Sputtered' gives no spelling proof.
045	EDITORIAL	Corrected arSasa exists as its own adjective entry ('having piles'); separate bodies collide.
046	SCAN-FIRST	'Indifferent' fits asaMsakta but body never spells the sibilant; page needed.
047	PASS	Body's own paradigm (zwaH-zwA-zwaM) uses w, contradicting headword W; proves avasfzwa.
048	SCAN-FIRST	Body paradigm (zWaH) matches current W, not the proposed w; body gives no correction proof.
049	SCAN-FIRST	drAvaRa retroflexion plausible, but body and inflection (naM) consistently show dental n; no spelling proof in body.
050	SCAN-FIRST	duzWu plausible for duzWu, but headword and inflection both show zwu; body not decisive.
051	EDITORIAL	Corrected gadABft exists as its own separate entry (m. Idem); a duplicate/collision merge decision, not a simple respell.
052	SCAN-FIRST	hantakAra (short a) plausible, but body spells hantA-kAra throughout; gloss is silent on vowel length.
