# SHS tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
469	bAhU -> bAhu	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
467	zas -> zaz	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	mAT -> maT	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
459	Svid -> svid	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	laG -> lag	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	lub -> luB	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	vuD -> buD	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	zap -> Sap	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	zuB -> SuB	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
374	pramaRa -> pramARa	[consensus,intra_dup,spell_correct]	morph✓
366	dosa -> doza	[consensus,intra_dup,spell_correct]	morph✓
361	pUtI -> pUti	[consensus,intra_dup,spell_correct]	morph✓
359	sutaka -> sUtaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	mulya -> mUlya	[consensus,intra_dup,spell_correct]	morph✓
357	zvap -> svap	[consensus,dict_vs_corpus,spell_correct]	morph✓
357	zvid -> svid	[consensus,dict_vs_corpus,spell_correct]	morph✓
356	Pakva -> pakva	[consensus,intra_dup,spell_correct]	morph✓
355	vidiSa -> vidiSA	[consensus,intra_dup,spell_correct]	morph✓
354	asvasTya -> asvAsTya	[consensus,intra_dup,spell_correct]	morph✓
354	svargAta -> svargata	[consensus,intra_dup,spell_correct]	morph✓
354	vyApada -> vyApAda	[consensus,intra_dup,spell_correct]	morph✓
351	stari -> starI	[consensus,intra_dup,spell_correct]	morph✓
349	SuSrUza -> SuSrUzA	[consensus,intra_dup,spell_correct]	
349	SuSravas -> suSravas	[consensus,intra_dup,spell_correct]	morph✓
347	garGa -> garga	[consensus,intra_dup,spell_correct]	morph✓
347	luT -> luW	[consensus,intra_dup,spell_correct]	morph✓
347	tOka -> toka	[consensus,intra_dup,spell_correct]	morph✓
347	vUz -> BUz	[consensus,intra_dup,spell_correct]	morph✓
347	zAD -> sAD	[consensus,intra_dup,spell_correct]	morph✓
347	zvad -> svad	[consensus,intra_dup,spell_correct]	morph✓
346	Binda -> vinda	[consensus,intra_dup,spell_correct]	morph✓
346	pawita -> patita	[consensus,intra_dup,spell_correct]	morph✓
345	azwApAda -> azwapAda	[consensus,intra_dup,spell_correct]	morph✓
344	cAmpa -> campa	[consensus,intra_dup,spell_correct]	morph✓
344	vartta -> vArtta	[consensus,intra_dup,spell_correct]	morph✓
339	hasya -> hAsya	[consensus,intra_dup,spell_correct]	
337	devaballaBa -> devavallaBa	[consensus,intra_dup,spell_correct]	morph✓
336	BreSa -> Breza	[consensus,intra_dup,spell_correct]	morph✓
334	navaratra -> navarAtra	[consensus,intra_dup,spell_correct]	morph✓
334	piRqAla -> piRqala	[consensus,intra_dup,spell_correct]	morph✓
328	Svf -> svf	[consensus,intra_dup,spell_correct]	morph✓
327	Turva -> turva	[consensus,intra_dup,spell_correct]	morph✓
326	BreS -> Brez	[consensus,intra_dup,spell_correct]	morph✓
326	bAhika -> vAhika	[consensus,intra_dup,spell_correct]	morph✓
326	pravAhukam -> prabAhukam	[consensus,intra_dup,spell_correct]	morph✓
325	aparADita -> aparADitA	[consensus,intra_dup,spell_correct]	morph✓
325	wANkAra -> wANkara	[consensus,intra_dup,spell_correct]	morph✓
