# BHS tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
465	adfSyA -> adfSya	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	aninditA -> anindita	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	antrA -> antra	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	anucAra -> anucara	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	asya -> Asya	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	dIpA -> dIpa	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	jAva -> java	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	kusumA -> kusuma	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	sAmam -> samam	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
462	atISaya -> atiSaya	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
462	kalI -> kali	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
462	uzRiza -> uzRIza	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
450	kAli -> kali	[consensus,dict_vs_corpus,intra_dup,spell_correct]	
374	DarmA -> Darma	[consensus,intra_dup,spell_correct]	morph✓
374	kzaRA -> kzaRa	[consensus,intra_dup,spell_correct]	morph✓
374	prAkfti -> prakfti	[consensus,intra_dup,spell_correct]	morph✓
371	tikzRa -> tIkzRa	[consensus,intra_dup,spell_correct]	morph✓
368	Buta -> BUta	[consensus,intra_dup,spell_correct]	morph✓
368	pUwa -> puwa	[consensus,intra_dup,spell_correct]	morph✓
366	sona -> soma	[consensus,intra_dup,spell_correct]	morph✓
365	aDipatya -> ADipatya	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	locanA -> locana	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	nIlotpalA -> nIlotpala	[consensus,dict_vs_corpus,spell_correct]	morph✓
364	ApAya -> apAya	[consensus,intra_dup,spell_correct]	morph✓
364	SaMkAra -> SaMkara	[consensus,intra_dup,spell_correct]	morph✓
364	SardUla -> SArdUla	[consensus,intra_dup,spell_correct]	morph✓
364	agneya -> Agneya	[consensus,intra_dup,spell_correct]	morph✓
364	padmakA -> padmaka	[consensus,intra_dup,spell_correct]	morph✓
364	prAdakziRa -> pradakziRa	[consensus,intra_dup,spell_correct]	morph✓
364	sundarA -> sundara	[consensus,intra_dup,spell_correct]	morph✓
364	upakAraRa -> upakaraRa	[consensus,intra_dup,spell_correct]	morph✓
364	vArzikA -> vArzika	[consensus,intra_dup,spell_correct]	morph✓
364	vikalpA -> vikalpa	[consensus,intra_dup,spell_correct]	morph✓
364	vimokzA -> vimokza	[consensus,intra_dup,spell_correct]	morph✓
364	vyUhA -> vyUha	[consensus,intra_dup,spell_correct]	morph✓
361	aparAjIta -> aparAjita	[consensus,intra_dup,spell_correct]	morph✓
360	dfQA -> dfQa	[consensus,dict_vs_corpus,intra_dup]	
359	Asaya -> ASaya	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	camu -> camU	[consensus,dict_vs_corpus,spell_correct]	morph✓
359	uluka -> ulUka	[consensus,dict_vs_corpus,spell_correct]	morph✓
358	sEla -> SEla	[consensus,intra_dup,spell_correct]	morph✓
358	sPUwa -> sPuwa	[consensus,intra_dup,spell_correct]	morph✓
358	sUmati -> sumati	[consensus,intra_dup,spell_correct]	morph✓
358	syAma -> SyAma	[consensus,intra_dup,spell_correct]	morph✓
358	virupAkza -> virUpAkza	[consensus,intra_dup,spell_correct]	morph✓
358	visada -> viSada	[consensus,intra_dup,spell_correct]	morph✓
356	Bali -> bali	[consensus,intra_dup,spell_correct]	morph✓
356	Basati -> vasati	[consensus,intra_dup,spell_correct]	morph✓
356	Kawuka -> kawuka	[consensus,intra_dup,spell_correct]	morph✓
356	PalaKa -> Palaka	[consensus,intra_dup,spell_correct]	morph✓
356	Taru -> taru	[consensus,intra_dup,spell_correct]	morph✓
356	kaTina -> kaWina	[consensus,intra_dup,spell_correct]	morph✓
356	koravya -> kOravya	[consensus,intra_dup,spell_correct]	morph✓
356	rOhiRI -> rohiRI	[consensus,intra_dup,spell_correct]	morph✓
356	uqaya -> udaya	[consensus,intra_dup,spell_correct]	morph✓
355	Akampya -> akampya	[consensus,intra_dup,spell_correct]	morph✓
355	AsparSa -> asparSa	[consensus,intra_dup,spell_correct]	morph✓
