# INM tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
475	sarvA -> sarva	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	jAmadagni -> jamadagni	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
374	brAhman -> brahman	[consensus,intra_dup,spell_correct]	morph✓
371	nISA -> niSA	[consensus,intra_dup,spell_correct]	morph✓
364	ftA -> fta	[consensus,intra_dup,spell_correct]	morph✓
364	pAYcalya -> pAYcAlya	[consensus,intra_dup,spell_correct]	morph✓
361	drOpadi -> drOpadI	[consensus,intra_dup,spell_correct]	morph✓
356	koSika -> kOSika	[consensus,intra_dup,spell_correct]	morph✓
356	samARa -> samAna	[consensus,intra_dup,spell_correct]	morph✓
356	virAta -> virAwa	[consensus,intra_dup,spell_correct]	morph✓
354	DarmajA -> Darmaja	[consensus,intra_dup,spell_correct]	morph✓
354	aBirAmA -> aBirAma	[consensus,intra_dup,spell_correct]	morph✓
354	arjuni -> Arjuni	[consensus,intra_dup,spell_correct]	morph✓
354	cAkzuzA -> cAkzuza	[consensus,intra_dup,spell_correct]	morph✓
354	janakAtmaja -> janakAtmajA	[consensus,intra_dup,spell_correct]	morph✓
352	aBizAha -> aBIzAha	[consensus,intra_dup,spell_correct]	morph✓
348	kusasTalI -> kuSasTalI	[consensus,intra_dup,spell_correct]	morph✓
348	saryAti -> SaryAti	[consensus,intra_dup,spell_correct]	morph✓
348	sinDUrAja -> sinDurAja	[consensus,intra_dup,spell_correct]	morph✓
347	dakzinApaTa -> dakziRApaTa	[consensus,intra_dup,spell_correct]	morph✓
346	dAkzinAtya -> dAkziRAtya	[consensus,intra_dup,spell_correct]	morph✓
346	dvetavana -> dvEtavana	[consensus,intra_dup,spell_correct]	morph✓
346	lokaRATa -> lokanATa	[consensus,intra_dup,spell_correct]	morph✓
346	padmaRABa -> padmanABa	[consensus,intra_dup,spell_correct]	morph✓
346	suvAhu -> subAhu	[consensus,intra_dup,spell_correct]	morph✓
346	uzInara -> uSInara	[consensus,intra_dup,spell_correct]	morph✓
346	vikata -> vikawa	[consensus,intra_dup,spell_correct]	morph✓
344	aMSAvatAraRa -> aMSAvataraRa	[consensus,intra_dup,spell_correct]	morph✓
344	amftapA -> amftapa	[consensus,intra_dup,spell_correct]	morph✓
344	ganDarvArAja -> ganDarvarAja	[consensus,intra_dup,spell_correct]	morph✓
