dict	suspect	proposed	cls_confidence	classify_reason	opus_refutation_reason
BHS	SlIpAda	SlIpada	medium	Body: 'read (Skt.) ślīpada with Mironov and Bhīk' - editors explicitly endorse suggestion's short-a spelling over suspect.	L15339 '[ślīpāda, m., elephantiasis: Mvy 9521; read (Skt.) ślīpada with Mironov and Bhīk]' - documented reading with gloss and citations.
BHS	aDyASana	aDyaSana	high	Body explicitly: 'probably error for Skt. adhyāsana' matching suggestion.	L499 '[adhyāśana, (probably error) for Skt. adhyāsana: Gv 494.8-9]' - documented error w/ gloss; and Skt adhyāsana ≠ suggestion adhyaśana.
BHS	anantaryasamADi	AnantaryasamADi	high	Body: 'misprint in Mvy for Ānant˚, corrected in Index' — explicit acknowledged error.	L562 '[Anantaryasamādhi, misprint in Mvy 901 for Ānant˚, q.v.; corrected in Index]' - documented misprint entry with citation.
BHS	cApAlya	cApalya	high	Body explicitly: 'prob. read cāpalya' - editors endorse suggestion's spelling over suspect's.	L6198 '? cāpālya (nt., for Skt. cāpalya), instability: Divy 432.13; prob. read cāpalya' - documented attested form with gloss.
BHS	kaTina	kaWina	high	Body gives Skt kaṭhina (retroflex, matches suggestion kaWina); suspect uses dental T in error.	L4393 'kathina, adj. (= Skt. kaṭhina), hard: LV 158.5, so all mss. acc. to Lefm.; Calc. kaṭh˚' - real BHS lexical entry with POS and mss support.
BHS	kzaRA	kzaRa	medium	Body concludes 'the fem. kṣaṇā is a mere corruption' of kṣaṇa, matching suggestion.	L5339 documents kṣaṇā as a fem. form recorded in Divy 643.2 with discussion; 'prob. the fem. kṣaṇā is a mere corruption' - documented textual variant.
BHS	lawikA	latikA	high	Body explicitly: 'app. misprint for latikā' — confirms typo for suggestion.	L12936 '[laṭikā, app. misprint for latikā (so Index): Mvy 433 = Tib. khri śiṅ, creeper; but Mironov prapāṭikā]' - documented misprint entry.
BHS	mAskarin	maskarin	high	Body: 'Māskarin = Maskarin ... probably a clerical error' explicitly calling it an error.	L12058 'Māskarin = Maskarin; Av i.231.4 (probably a clerical error, Speyer)' - documented cross-reference with source citation.
BHS	mahAkaruRA	mahAkaruRa	high	Body defines 'mahā-karuṇā', great compassion — matches suggestion exactly.	L11658 'mahā-karuṇā (cf. Skt. karuṇā; = Pali id.), great compassion: LV 181.5, Mvy 154' - real word; fem. karuṇā, suggestion mahākaruṇa is not the form.
BHS	niDyApti	niDyapti	high	Body: 'nidhyāpti, prob. error for nidhyapti, q.v.' — explicit misprint acknowledgment, no own content.	L8262 'nidhyāpti, Mvy 7460, prob. error for nidhyapti, q.v.' - documented error entry with source and cross-reference.
BHS	parijAta	pArijAta	high	Body explicitly calls it 'merely an uncorrected misprint for Skt. pāri˚' (=suggestion pArijAta).	L8997 '[parijāta, in ˚tāni puṣpāṇi Mv iii.99.19 ... no doubt merely an uncorrected misprint for Skt. pāri˚]' - documented misprint with citation.
BHS	prAkfti	prakfti	high	Body: 'sometimes in text of Divy for prakṛti... perhaps only misprint.'	L10655 '? prākṛti (f.), sometimes in text of Divy for prakṛti ... perhaps only misprint' - documented printed variant with citation, not a bare key error.
BHS	rOhiRI	rohiRI	high	Body: 'read prob. rohiṇī with Mironov' — explicit correction to the suggestion spelling.	L12896 bracketed '[rauhiṇī, read prob. rohiṇī with Mironov, Mvy 5831, n. of some plant]' - documented wrong reading with source.
BHS	sEla	SEla	medium	Body: '{@Saila@} (read {@Śaila?@})' explicitly suggests the suggestion's spelling, marked uncertain.	L17298 'Saila (read Śaila?), n. of a yakṣa: Māy 2' - own entry as name of a yakṣa, spelling flagged/documented by editor.
BHS	upADAna	upaDAna	high	Body explicitly: 'misprint for upadhāna, q.v.' matching suggestion.	L3853 '[upādhāna, Karmav 22.5, misprint for upadhāna, q.v.]' - documented misprint entry with citation and redirect.
SCH	girI	giri	medium	Gloss 'zu einem Berge anhäufen' (heap into a mountain) fits giri 'mountain', not distinct girī sense	Body '{%girī%} Adv. mit {%kṛ%} zu einem Berge anhäufen' — girī is a distinct cvi-adverb form, spelled girī in body.
SCH	jAnana	janana	high	Gloss 'Ursprung, Geburtsstätte' (origin, birthplace) is the meaning of janana, not jānana	Body '*{%jānana%} n. Ursprung, Geburtsstätte, Mahāvy. 101,12' — headword spelled jānana; own entry.
SCH	kalindI	kAlindI	high	Body gloss 'Kalindī N. pr. einer Hetäre' matches suggestion's long-A spelling, not suspect's short a.	Body '{%Kalindī%} N. pr. einer Hetäre, Śṛṅgt. 49,1' — body spells Kalindī with short a, matching suspect.
SCH	mAnasIka	mAnasika	high	Body explicitly says 'wohl verdruckt für mānasika' (probably a misprint for the suggestion).	Body documents it: '°{%mānasīka%} Adj., imaginär ... wohl verdruckt für {%mānasika%}' — documented misprint, kept as entry.
