# MW tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
375	BavA -> Bava	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	atrA -> atra	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	mADu -> maDu	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	marga -> mArga	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	prAvft -> pravft	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	prAviS -> praviS	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	vAcas -> vacas	[consensus,dict_vs_corpus,intra_dup]	morph✓
372	pARI -> pARi	[consensus,dict_vs_corpus,intra_dup]	morph✓
372	vIviDa -> viviDa	[consensus,dict_vs_corpus,intra_dup]	morph✓
369	SUci -> Suci	[consensus,dict_vs_corpus,intra_dup]	morph✓
369	gurU -> guru	[consensus,dict_vs_corpus,intra_dup]	morph✓
369	tapaS -> tapas	[consensus,dict_vs_corpus,intra_dup]	morph✓
368	yud -> yuD	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	AjAta -> ajAta	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	AmA -> Ama	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	avAs -> avas	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	hawaka -> hAwaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	kekAya -> kekaya	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	upAdru -> upadru	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	vacaka -> vAcaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	viBAj -> viBaj	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	yac -> yAc	[consensus,dict_vs_corpus,intra_dup]	morph✓
362	gIr -> gir	[consensus,dict_vs_corpus,intra_dup]	morph✓
362	kiriwa -> kirIwa	[consensus,dict_vs_corpus,intra_dup]	morph✓
362	pIz -> piz	[consensus,dict_vs_corpus,intra_dup]	morph✓
362	praRi -> praRI	[consensus,dict_vs_corpus,intra_dup]	morph✓
360	ABra -> aBra	[consensus,dict_vs_corpus,intra_dup]	
360	Arjuna -> arjuna	[consensus,dict_vs_corpus,intra_dup]	
360	GftA -> Gfta	[consensus,dict_vs_corpus,intra_dup]	
360	agrA -> agra	[consensus,dict_vs_corpus,intra_dup]	
360	bIjA -> bIja	[consensus,dict_vs_corpus,intra_dup]	
360	dfQA -> dfQa	[consensus,dict_vs_corpus,intra_dup]	
360	kuSAla -> kuSala	[consensus,dict_vs_corpus,intra_dup]	
360	mARi -> maRi	[consensus,dict_vs_corpus,intra_dup]	
360	mAnAsa -> mAnasa	[consensus,dict_vs_corpus,intra_dup]	
360	nAradA -> nArada	[consensus,dict_vs_corpus,intra_dup]	
360	sahitA -> sahita	[consensus,dict_vs_corpus,intra_dup]	
359	ASad -> Asad	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	ASya -> Asya	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	SraMs -> sraMs	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	aRU -> aRu	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	banDU -> banDu	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	fjU -> fju	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	saMSad -> saMsad	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	canDana -> candana	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	saMvADa -> saMvAda	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	vADin -> vAdin	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	Apaw -> Apat	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	bARI -> vARI	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	bidura -> vidura	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	durvala -> durbala	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	kzeRa -> kzema	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	niva -> niBa	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	pratikF -> pratikf	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	rIwi -> rIti	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	ravasa -> raBasa	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	vamya -> vanya	[consensus,dict_vs_corpus,intra_dup]	morph✓
353	kuzwa -> kuzWa	[consensus,dict_vs_corpus,intra_dup]	
353	madura -> maDura	[consensus,dict_vs_corpus,intra_dup]	
352	mArada -> nArada	[consensus,dict_vs_corpus,intra_dup]	
350	ANgula -> aNgula	[consensus,dict_vs_corpus,intra_dup]	
350	ASIvizA -> ASIviza	[consensus,dict_vs_corpus,intra_dup]	
350	SalakA -> SalAkA	[consensus,dict_vs_corpus,intra_dup]	
350	SaraRyA -> SaraRya	[consensus,dict_vs_corpus,intra_dup]	
350	SrutA -> Sruta	[consensus,dict_vs_corpus,intra_dup]	
350	SyenA -> Syena	[consensus,dict_vs_corpus,intra_dup]	
350	aDamA -> aDama	[consensus,dict_vs_corpus,intra_dup]	
350	aDarmA -> aDarma	[consensus,dict_vs_corpus,intra_dup]	
350	aSvatTA -> aSvatTa	[consensus,dict_vs_corpus,intra_dup]	
350	abdA -> abda	[consensus,dict_vs_corpus,intra_dup]	
350	ahitA -> ahita	[consensus,dict_vs_corpus,intra_dup]	
350	ajirA -> ajira	[consensus,dict_vs_corpus,intra_dup]	
350	anucarA -> anucara	[consensus,dict_vs_corpus,intra_dup]	
350	apriyA -> apriya	[consensus,dict_vs_corpus,intra_dup]	
350	bimbA -> bimba	[consensus,dict_vs_corpus,intra_dup]	
350	dInA -> dIna	[consensus,dict_vs_corpus,intra_dup]	
350	dUzaRA -> dUzaRa	[consensus,dict_vs_corpus,intra_dup]	
350	daRqakA -> daRqaka	[consensus,dict_vs_corpus,intra_dup]	
350	drupAda -> drupada	[consensus,dict_vs_corpus,intra_dup]	
350	duzwA -> duzwa	[consensus,dict_vs_corpus,intra_dup]	
350	dviguRA -> dviguRa	[consensus,dict_vs_corpus,intra_dup]	
350	gahanA -> gahana	[consensus,dict_vs_corpus,intra_dup]	
350	havyA -> havya	[consensus,dict_vs_corpus,intra_dup]	
350	kApola -> kapola	[consensus,dict_vs_corpus,intra_dup]	
350	kacA -> kaca	[consensus,dict_vs_corpus,intra_dup]	
350	kadalA -> kadala	[consensus,dict_vs_corpus,intra_dup]	
350	kalahA -> kalaha	[consensus,dict_vs_corpus,intra_dup]	
350	maRqapA -> maRqapa	[consensus,dict_vs_corpus,intra_dup]	
350	madrI -> mAdrI	[consensus,dict_vs_corpus,intra_dup]	
350	mahAdevA -> mahAdeva	[consensus,dict_vs_corpus,intra_dup]	
350	nAsatyA -> nAsatya	[consensus,dict_vs_corpus,intra_dup]	
350	pAdapA -> pAdapa	[consensus,dict_vs_corpus,intra_dup]	
350	parokzA -> parokza	[consensus,dict_vs_corpus,intra_dup]	
350	parvatI -> pArvatI	[consensus,dict_vs_corpus,intra_dup]	
350	piSAcA -> piSAca	[consensus,dict_vs_corpus,intra_dup]	
350	pratyagam -> pratyAgam	[consensus,dict_vs_corpus,intra_dup]	
350	puzyA -> puzya	[consensus,dict_vs_corpus,intra_dup]	
