# VCP tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
375	antAra -> antara	[consensus,dict_vs_corpus,intra_dup]	morph✓
367	garba -> garBa	[consensus,dict_vs_corpus,intra_dup]	morph✓
367	nUtra -> mUtra	[consensus,dict_vs_corpus,intra_dup]	morph✓
366	vrAhmaRa -> brAhmaRa	[consensus,intra_dup,spell_correct]	morph✓
365	DavalA -> Davala	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	dAruRA -> dAruRa	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	nizpAd -> nizpad	[consensus,dict_vs_corpus,intra_dup]	morph✓
361	ditI -> diti	[consensus,intra_dup,spell_correct]	morph✓
359	sutaka -> sUtaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
359	yuza -> yUza	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	kASIsa -> kAsIsa	[consensus,intra_dup,spell_correct]	morph✓
358	laSUna -> laSuna	[consensus,intra_dup,spell_correct]	morph✓
357	Bila -> bila	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	Guqa -> guqa	[consensus,dict_vs_corpus,intra_dup]	morph✓
356	arvuda -> arbuda	[consensus,intra_dup,spell_correct]	morph✓
356	prabaRa -> pravaRa	[consensus,intra_dup,spell_correct]	morph✓
356	stanBa -> stamBa	[consensus,intra_dup,spell_correct]	morph✓
356	vahuDA -> bahuDA	[consensus,intra_dup,spell_correct]	morph✓
356	vahuSas -> bahuSas	[consensus,intra_dup,spell_correct]	morph✓
356	vahula -> bahula	[consensus,intra_dup,spell_correct]	morph✓
356	vrAhma -> brAhma	[consensus,intra_dup,spell_correct]	morph✓
356	vrahmARqa -> brahmARqa	[consensus,intra_dup,spell_correct]	morph✓
356	vrahmaRya -> brahmaRya	[consensus,intra_dup,spell_correct]	morph✓
356	vrahmacArin -> brahmacArin	[consensus,intra_dup,spell_correct]	morph✓
356	vrahmahatyA -> brahmahatyA	[consensus,intra_dup,spell_correct]	morph✓
356	vrahmarzi -> brahmarzi	[consensus,intra_dup,spell_correct]	morph✓
356	vrahmavarcasa -> brahmavarcasa	[consensus,intra_dup,spell_correct]	morph✓
355	Ajana -> ajana	[consensus,intra_dup,spell_correct]	morph✓
352	dfSI -> dfSi	[consensus,intra_dup,spell_correct]	morph✓
352	navatI -> navati	[consensus,intra_dup,spell_correct]	morph✓
352	svaDitI -> svaDiti	[consensus,intra_dup,spell_correct]	morph✓
351	CavI -> Cavi	[consensus,intra_dup,spell_correct]	morph✓
348	mattakAsinI -> mattakASinI	[consensus,intra_dup,spell_correct]	morph✓
347	meqa -> meda	[consensus,intra_dup,spell_correct]	morph✓
347	vfhadaSva -> bfhadaSva	[consensus,intra_dup,spell_correct]	morph✓
347	vfhatPala -> bfhatPala	[consensus,intra_dup,spell_correct]	morph✓
346	dOhada -> dohada	[consensus,intra_dup,spell_correct]	morph✓
346	kozAmra -> koSAmra	[consensus,intra_dup,spell_correct]	morph✓
346	mahAbIra -> mahAvIra	[consensus,intra_dup,spell_correct]	morph✓
346	parizpanda -> parispanda	[consensus,intra_dup,spell_correct]	morph✓
346	vahurUpa -> bahurUpa	[consensus,intra_dup,spell_correct]	morph✓
346	vahutiTa -> bahutiTa	[consensus,intra_dup,spell_correct]	morph✓
346	vahuvrIhi -> bahuvrIhi	[consensus,intra_dup,spell_correct]	morph✓
346	vahvfca -> bahvfca	[consensus,intra_dup,spell_correct]	morph✓
346	vfhatkzatra -> bfhatkzatra	[consensus,intra_dup,spell_correct]	morph✓
346	vrAhmaRAcCaMsin -> brAhmaRAcCaMsin	[consensus,intra_dup,spell_correct]	morph✓
346	vrAhmya -> brAhmya	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmARI -> brahmARI	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmAstra -> brahmAstra	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmOdana -> brahmOdana	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmaGoza -> brahmaGoza	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmaRaspati -> brahmaRaspati	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmaSiras -> brahmaSiras	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmabanDu -> brahmabanDu	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmadaRqa -> brahmadaRqa	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmadatta -> brahmadatta	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmakUrca -> brahmakUrca	[consensus,intra_dup,spell_correct]	morph✓
