pass	dict	wrong	right	opus_confirm_reason	opus_review	opus_review_reason
D7	ACC	keSAvAditya	keSavAditya	L5027 'Nalodayatika. B. 2, 86.' sits BETWEEN keSavAditya (L5026) and keSavAdityaBawwa (L5028) — a keSAv- headword would sort after all keSava-. Bare keying error.	fileable	L5027 'Nalodayatika. B. 2, 86.' sits alphabetically between keSavAditya (L5026) and keSavAditya Bawwa; dup k1 is normal in ACC.
D7	ACC	pattrAvalAmbana	pattrAvalambana	L34363 'vedanta, by Vallabha Diksita. IO. 2366' = the Pattravalambana (ACC L12737/L44588 spell it pattrAvalambana). No 'w.r.'/'v.l.' note; avalAmbana is not a word.	fileable	L34363 'vedanta, by Vallabha Diksita' = same work as L12737 pattrAvalambana 'vedanta, by Vallabha Diksita'.
D7	ACC	ramalAsAra	ramalasAra	L40875 'by Sripati, son of Laksminrsimha Bhatta. Ulwar 1935.'; sorted between ramalasaMhitA and ramalendu-, i.e. as ramalasAra (L19220/L36158).	fileable	L40875 'by Sripati, son of Laksminrsimha Bhatta. Ulwar 1935.' = same work+author formula as ramalasAra L46005/L19220; no w.r./v.l./See marker.
D7	ACC	somavArAvrata	somavAravrata	L47962 'AK 208.' bare citation; somavAravrata at L28851 and somavAravratamAhAtmya immediately follows at L47963 with short a.	fileable	L47962 bare 'AK 208.'; sorted BEFORE somavAravratamAhAtmya and somavArAmAvAsyAvrata, i.e. alphabetized as somavAravrata (cf. L28851).
D7	ACC	veNkaweSamaNgalaSAsana	veNkaweSamaNgalASAsana	L46865 '(school of Ramanuja). Bd. 189.' - the Srivaisnava mangalasasana title is veNkaweSamaNgalASAsana at L23410 and L37312.	fileable	L46865 '(school of Ramanuja). Bd. 189.' - all 8 other ACC compounds spell maNgalASAsana, incl. same headword at L23410/L37312.
D9	GST	aDoGaRWA	aDoGaRwA	Body: 'Bahuvr. f. ({#-RwA#}) A plant (Acheranthes aspera). See {#apAmArga#}. E. {#aDas#} and {#GaRwA#}' - body twice uses w, headword W unsupported.	fileable	L1999: gloss 'A plant (Achyranthes aspera)'; own inflection {#-RwA#} and etymology 'E. aDas and GaRwA' both give -Rw-, no w.r./v.l./redirect marker
D9	PWG	citrikA	citrika	'(von citrA) m. = cEtrika der Monat Caitra' - masculine gloss requires citrika; long-A key undocumented.	fileable	L25534 marked <lex>m.</lex> = cEtrika (month Caitra); MW L73990 citrika m. Not a variant/apparatus note.
D9	PWG	kxptakIla	kxptakIlA	'(kxpta + kIla) f. Rechtsurkunde' - feminine marking is incompatible with a short-a stem; kxptakIlA. No spelling note.	fileable	L18994 marked <lex>f.</lex> though headword ends -a; MW L55581 kxptakIlA f. from same TRIK./HAR. Derivation lists stems, no contradiction.
D9	PWG	mAlArizwa	mAlArizwA	'(wohl mAlA + a~) f. eine best. Pflanze, = pAcI' - feminine plant name needs -A stem mAlArizwA; nothing documents the key.	fileable	L60199 <lex>f.</lex> plant = pAcI (RAJAN.); MW L163676 mAlArizwA f. same source. '(wohl mAlA + a˚)' is compound analysis in stems only.
D9	PWG	pARivanDa	pARibanDa	'({#pA~#} + {#ba~#}) m. die Verbindung der Haende (bei der Heirath)' - etymology itself points to banDa (a PWG lemma); vanDa is not, so headword v is a bare error.	fileable	L44149 derivation ({#pA˚#} + {#ba˚#}); sorts between pARipradAna (p) and pARiBuj (bh), the b slot.
D7	SHS	BUjajyA	BujajyA	f. (-jyA) 'The base sine, (in astronomy.)' — no etymology; base = Buja 'arm' (cf. adjacent BujaSiras, BujA); MW/PW/AP/VCP/LRV: BujajyA.	fileable	'The base sine' = BujajyA; entry sits among Buja- entries (BujaNgAKya, BujaSiras, BujA), where BUja- would sort later.
D7	SHS	BadrapIwa	BadrapIWa	Body: 'n. (-waM) A splendid seat, a throne' = bhadrapITha; SHS elsewhere has 13 pIWa keys, pIwa only here + kfpIwa (genuine).	fileable	L29089: 'n. (-waM) A splendid seat, a throne' = bhadrapITha; SHS lemma pIWa + kzitipIWa/pAdapIWa/pUgapIWa all W. No variant/apparatus note.
D7	SHS	BrAtfbala	BrAtfvala	Body: 'Having a brother. E. BrAtf, valac aff.' - valac yields -vala; -bala undocumented.	fileable	L29921 own etymology 'E. BrAtf, valac aff.'; WIL L28989 BrAtfvala with same derivation; PW/PWG/VCP/AP/LRV agree (only YAT has b).
D7	SHS	DubakA	DuvakA	Body: 'E. DU to agitate, kvun UnAdi aff.' - DU+aka gives Duvaka; neighbours Duvana, Duvitra show the same v-glide.	fileable	L20669 'E. DU to agitate, kvun aff.', neighbours Duvana/Duvitra; WIL L20683 DuvakA with identical gloss; MW/SKD/AP/MW72 DuvakA.
D7	SHS	aByupetyaSuSrUzA	aByupetyASuSrUzA	f. 'head or title of law, disputes between master and servant. E. aByupetya ... a neg. SuSrUzA' — a+SuSrUzA = ASuSrUzA; wil L2759/MW/PW/VCP/AP: aByupetyASuSrUzA.	fileable	Own etym 'aByupetya having engaged, a neg. SuSrUzA service' requires aByupetya+aSuSrUzA = aByupetyASuSrUzA; Manu title of law.
D7	SHS	dibA	divA	'dibA ind. By day, the day. E. div to play, affix kA' - gloss and etymology are divA's; SHS has no divA entry and this sits directly before divAkara.	fileable	ind. 'By day, the day. E. div to play, affix kA' - derivation from div gives divA; WIL/MW have divA only, no dibA.
D7	SHS	dudyuzu	dudyUzu	'Wishing to play with or brandish. E. {#div#} to play, desid. form, irr., {#u#} aff.' MW headword: dudyUzu (long U). No spelling note.	fileable	E. 'div to play, desid. form, u aff.' requires dudyUzu (cf. SHS duDUzat, buBUzu); MW dudyUzu. No lexicographic marker.
D7	SHS	dvindriyagrAhya	dvIndriyagrAhya	'Perceptible by two senses... E. {#dvi, indriya#} an organ of sense, {#grAhya#}': dvi+indriya = dvIndriya. MW: dvIndriyagrAhya. No variant note.	fileable	E. 'dvi, indriya' => dvi+indriya = dvI-; placed after dvihfdayA and before dvIpa, i.e. the long-I slot; MW dvIndriyagrAhya.
D7	SHS	gaNgAdbAra	gaNgAdvAra	Body: 'The place where the Ganga enters the plains; also Haridwar. E. gaNgA, and dvAra gate' - etymology gives dvAra, so 'db' is a scan error.	fileable	'The place where the Ganga enters the plains; also Haridwar. E. gaNgA and dvAra gate' - db is a scan slip for dv; WIL/MW gaNgAdvAra.
