# PWG tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
465	Agnihotra -> agnihotra	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	antyA -> antya	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	cinta -> cintA	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
462	atrI -> atri	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
457	ED -> eD	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
375	idAm -> idam	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	paka -> pAka	[consensus,dict_vs_corpus,intra_dup]	morph✓
375	rAjAn -> rAjan	[consensus,dict_vs_corpus,intra_dup]	morph✓
374	mAd -> mad	[consensus,intra_dup,spell_correct]	morph✓
371	nila -> nIla	[consensus,intra_dup,spell_correct]	morph✓
368	SUrya -> sUrya	[consensus,intra_dup,spell_correct]	morph✓
367	Az -> As	[consensus,dict_vs_corpus,intra_dup]	morph✓
366	dEvatA -> devatA	[consensus,intra_dup,spell_correct]	morph✓
365	SASvat -> SaSvat	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	anam -> Anam	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	candrAyaRa -> cAndrAyaRa	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	dARqaka -> daRqaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	hAraRa -> haraRa	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	kevAla -> kevala	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	lAkza -> lakza	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	nApuMsaka -> napuMsaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	nizpAd -> nizpad	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	santva -> sAntva	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	satkara -> satkAra	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	vAkra -> vakra	[consensus,dict_vs_corpus,intra_dup]	morph✓
365	vikrAya -> vikraya	[consensus,dict_vs_corpus,intra_dup]	morph✓
364	An -> an	[consensus,intra_dup,spell_correct]	morph✓
364	AriMdama -> ariMdama	[consensus,intra_dup,spell_correct]	morph✓
364	avakaSa -> avakASa	[consensus,intra_dup,spell_correct]	morph✓
364	sanu -> sAnu	[consensus,intra_dup,spell_correct]	morph✓
361	UtI -> Uti	[consensus,intra_dup,spell_correct]	morph✓
359	suBra -> SuBra	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	DAyaka -> dAyaka	[consensus,dict_vs_corpus,intra_dup]	morph✓
358	pratIkAsa -> pratIkASa	[consensus,intra_dup,spell_correct]	morph✓
357	Barya -> varya	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	sanIpa -> samIpa	[consensus,dict_vs_corpus,intra_dup]	morph✓
357	vARaprasTa -> vAnaprasTa	[consensus,dict_vs_corpus,intra_dup]	morph✓
356	EkAnta -> ekAnta	[consensus,intra_dup,spell_correct]	morph✓
356	gawa -> Gawa	[consensus,intra_dup,spell_correct]	morph✓
356	goza -> Goza	[consensus,intra_dup,spell_correct]	morph✓
356	manorata -> manoraTa	[consensus,intra_dup,spell_correct]	morph✓
356	mayana -> nayana	[consensus,intra_dup,spell_correct]	morph✓
356	ukTi -> ukti	[consensus,intra_dup,spell_correct]	morph✓
355	ahnika -> Ahnika	[consensus,intra_dup,spell_correct]	morph✓
355	ajaganDa -> ajaganDA	[consensus,intra_dup,spell_correct]	morph✓
355	akzamAla -> akzamAlA	[consensus,intra_dup,spell_correct]	morph✓
355	anASana -> anaSana	[consensus,intra_dup,spell_correct]	morph✓
355	awwahAsA -> awwahAsa	[consensus,intra_dup,spell_correct]	morph✓
355	ayasya -> ayAsya	[consensus,intra_dup,spell_correct]	morph✓
355	dAyA -> dAya	[consensus,dict_vs_corpus,intra_dup]	morph✓
355	pacAna -> pacana	[consensus,intra_dup,spell_correct]	morph✓
354	SarikA -> SArikA	[consensus,intra_dup,spell_correct]	morph✓
354	SvAdaMzwrA -> SvadaMzwrA	[consensus,intra_dup,spell_correct]	morph✓
354	akiMcanya -> AkiMcanya	[consensus,intra_dup,spell_correct]	morph✓
354	amayAvin -> AmayAvin	[consensus,intra_dup,spell_correct]	morph✓
354	arvavasu -> arvAvasu	[consensus,intra_dup,spell_correct]	morph✓
354	ezARa -> ezaRa	[consensus,intra_dup,spell_correct]	morph✓
354	kANkola -> kaNkola	[consensus,intra_dup,spell_correct]	morph✓
354	kzAp -> kzap	[consensus,intra_dup,spell_correct]	morph✓
354	mahAbahu -> mahAbAhu	[consensus,intra_dup,spell_correct]	morph✓
354	pratisAraRA -> pratisAraRa	[consensus,intra_dup,spell_correct]	morph✓
354	tApatI -> tapatI	[consensus,intra_dup,spell_correct]	morph✓
354	vyAvahArin -> vyavahArin	[consensus,intra_dup,spell_correct]	morph✓
354	yaTecCA -> yaTecCa	[consensus,intra_dup,spell_correct]	morph✓
352	wikA -> wIkA	[consensus,intra_dup,spell_correct]	morph✓
350	guRAy -> guRay	[consensus,dict_vs_corpus,intra_dup]	
349	mahAsAla -> mahASAla	[consensus,intra_dup,spell_correct]	morph✓
349	puraka -> pUraka	[consensus,intra_dup,spell_correct]	morph✓
348	kAsmarI -> kASmarI	[consensus,intra_dup,spell_correct]	morph✓
348	kAsmarya -> kASmarya	[consensus,intra_dup,spell_correct]	morph✓
348	kisora -> kiSora	[consensus,intra_dup,spell_correct]	morph✓
348	visvasfj -> viSvasfj	[consensus,intra_dup,spell_correct]	morph✓
347	cakrabAla -> cakravAla	[consensus,intra_dup,spell_correct]	morph✓
347	marIcI -> marIci	[consensus,dict_vs_corpus,intra_dup]	
347	pAYcAli -> pAYcAlI	[consensus,dict_vs_corpus,intra_dup]	
346	AvIra -> ABIra	[consensus,intra_dup,spell_correct]	morph✓
346	AzAqI -> AzAQI	[consensus,intra_dup,spell_correct]	morph✓
346	dorganDya -> dOrganDya	[consensus,intra_dup,spell_correct]	morph✓
346	jAvAla -> jAbAla	[consensus,intra_dup,spell_correct]	morph✓
346	kalava -> kalaBa	[consensus,intra_dup,spell_correct]	morph✓
346	suBita -> suvita	[consensus,intra_dup,spell_correct]	morph✓
346	vADaka -> bADaka	[consensus,intra_dup,spell_correct]	morph✓
345	ahika -> Ahika	[consensus,intra_dup,spell_correct]	morph✓
345	ananukftya -> anAnukftya	[consensus,intra_dup,spell_correct]	morph✓
345	avahelA -> avahela	[consensus,intra_dup,spell_correct]	morph✓
345	druhA -> druha	[consensus,intra_dup,spell_correct]	morph✓
345	durhaRa -> durhaRA	[consensus,intra_dup,spell_correct]	morph✓
345	pAwalikA -> pAwalika	[consensus,intra_dup,spell_correct]	morph✓
344	AntarjAnu -> antarjAnu	[consensus,intra_dup,spell_correct]	morph✓
344	KAYjana -> KaYjana	[consensus,intra_dup,spell_correct]	morph✓
344	Kadya -> KAdya	[consensus,intra_dup,spell_correct]	morph✓
344	darBya -> dArBya	[consensus,intra_dup,spell_correct]	morph✓
344	drORikA -> drORika	[consensus,intra_dup,spell_correct]	morph✓
344	mAnasikA -> mAnasika	[consensus,intra_dup,spell_correct]	morph✓
344	nAgnajit -> nagnajit	[consensus,intra_dup,spell_correct]	morph✓
344	sOmanA -> sOmana	[consensus,intra_dup,spell_correct]	morph✓
344	tarAvalI -> tArAvalI	[consensus,intra_dup,spell_correct]	morph✓
344	viBAja -> viBaja	[consensus,intra_dup,spell_correct]	morph✓
342	CardIkA -> CardikA	[consensus,intra_dup,spell_correct]	morph✓
342	aBivarga -> aBIvarga	[consensus,intra_dup,spell_correct]	morph✓
342	goRi -> goRI	[consensus,intra_dup,spell_correct]	morph✓
342	nIrasana -> nirasana	[consensus,intra_dup,spell_correct]	morph✓
342	uq -> ud	[consensus,dict_vs_corpus,intra_dup]	
341	SIlI -> SilI	[consensus,intra_dup,spell_correct]	morph✓
341	artay -> arTay	[consensus,intra_dup,spell_correct]	
341	dIvAkIrtya -> divAkIrtya	[consensus,intra_dup,spell_correct]	morph✓
341	nIraNga -> niraNga	[consensus,intra_dup,spell_correct]	morph✓
340	pArva -> parva	[consensus,intra_dup,spell_correct]	
339	prastUta -> prastuta	[consensus,intra_dup,spell_correct]	morph✓
339	vfzay -> vfzAy	[consensus,intra_dup,spell_correct]	
338	raTatUr -> raTatur	[consensus,intra_dup,spell_correct]	morph✓
338	sAradAtilaka -> SAradAtilaka	[consensus,intra_dup,spell_correct]	morph✓
337	Anarda -> Amarda	[consensus,intra_dup,spell_correct]	morph✓
337	avyati -> avyaTi	[consensus,intra_dup,spell_correct]	morph✓
337	barhiska -> barhizka	[consensus,intra_dup,spell_correct]	morph✓
337	ceka -> Ceka	[consensus,intra_dup,spell_correct]	morph✓
337	mARimanta -> mARimanTa	[consensus,intra_dup,spell_correct]	morph✓
337	wowaka -> towaka	[consensus,intra_dup,spell_correct]	morph✓
337	yaBya -> yavya	[consensus,intra_dup,spell_correct]	morph✓
336	grezma -> grEzma	[consensus,intra_dup,spell_correct]	morph✓
336	karbawa -> karvawa	[consensus,intra_dup,spell_correct]	morph✓
336	ketunAlin -> ketumAlin	[consensus,intra_dup,spell_correct]	morph✓
336	nikilviza -> nikilbiza	[consensus,intra_dup,spell_correct]	morph✓
335	acirapraBa -> acirapraBA	[consensus,intra_dup,spell_correct]	morph✓
335	dASaSiras -> daSaSiras	[consensus,intra_dup,spell_correct]	morph✓
335	satrAsAha -> sAtrAsAha	[consensus,intra_dup,spell_correct]	morph✓
335	tatfpi -> tAtfpi	[consensus,intra_dup,spell_correct]	morph✓
334	Barezuja -> BarezujA	[consensus,intra_dup,spell_correct]	morph✓
334	anantavIryA -> anantavIrya	[consensus,intra_dup,spell_correct]	morph✓
334	kuwwaparAnta -> kuwwAparAnta	[consensus,intra_dup,spell_correct]	morph✓
334	tatAra -> tatara	[consensus,intra_dup,spell_correct]	morph✓
334	vAcasa -> vacasa	[consensus,intra_dup,spell_correct]	morph✓
329	marin -> mArin	[consensus,intra_dup,spell_correct]	
329	utkAlita -> utkalita	[consensus,intra_dup,spell_correct]	
328	danuza -> Danuza	[consensus,intra_dup,spell_correct]	morph✓
328	pItasAla -> pItaSAla	[consensus,intra_dup,spell_correct]	morph✓
328	sUlika -> SUlika	[consensus,intra_dup,spell_correct]	morph✓
327	ayopAzWi -> ayopAzwi	[consensus,intra_dup,spell_correct]	morph✓
326	karozwI -> KarozwI	[consensus,intra_dup,spell_correct]	morph✓
