# PUI tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
475	brahmaRa -> brAhmaRa	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
475	narA -> nara	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
468	vivida -> viviDa	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	adarSanA -> adarSana	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	anaGA -> anaGa	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	anaNgA -> anaNga	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	hantA -> hanta	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	jAmadagni -> jamadagni	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
465	kusumA -> kusuma	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
459	Sukfta -> sukfta	[consensus,dict_vs_corpus,intra_dup,spell_correct]	morph✓
450	kAli -> kali	[consensus,dict_vs_corpus,intra_dup,spell_correct]	
374	SarIrA -> SarIra	[consensus,intra_dup,spell_correct]	morph✓
374	kalpA -> kalpa	[consensus,intra_dup,spell_correct]	morph✓
374	kumArA -> kumAra	[consensus,intra_dup,spell_correct]	morph✓
374	kzAtriya -> kzatriya	[consensus,intra_dup,spell_correct]	morph✓
374	mAnasA -> mAnasa	[consensus,intra_dup,spell_correct]	morph✓
374	mArgA -> mArga	[consensus,intra_dup,spell_correct]	morph✓
371	prItI -> prIti	[consensus,intra_dup,spell_correct]	morph✓
366	gO -> go	[consensus,intra_dup,spell_correct]	morph✓
365	atiTya -> AtiTya	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	mahimAn -> mahiman	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	nIlotpalA -> nIlotpala	[consensus,dict_vs_corpus,spell_correct]	morph✓
365	potA -> pota	[consensus,dict_vs_corpus,spell_correct]	morph✓
364	AnDakAra -> anDakAra	[consensus,intra_dup,spell_correct]	morph✓
364	AnDaka -> anDaka	[consensus,intra_dup,spell_correct]	morph✓
364	SaWA -> SaWa	[consensus,intra_dup,spell_correct]	morph✓
364	SakawA -> Sakawa	[consensus,intra_dup,spell_correct]	morph✓
364	drAviRa -> draviRa	[consensus,intra_dup,spell_correct]	morph✓
364	haMsA -> haMsa	[consensus,intra_dup,spell_correct]	morph✓
364	kambalA -> kambala	[consensus,intra_dup,spell_correct]	morph✓
364	mADavA -> mADava	[consensus,intra_dup,spell_correct]	morph✓
364	maDava -> mADava	[consensus,intra_dup,spell_correct]	morph✓
364	manava -> mAnava	[consensus,intra_dup,spell_correct]	morph✓
364	nirBayA -> nirBaya	[consensus,intra_dup,spell_correct]	morph✓
364	pannagA -> pannaga	[consensus,intra_dup,spell_correct]	morph✓
